,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,712637,38092,37191,37578,90.48,91.27,92.1
20230103,909855,41246,40469,40984,98.67,99.08,98.28
20230104,1262005,41507,40643,41257,94.66,97.93,94.19
20230105,2604951,43487,42382,43160,92.62,97.88,91.93
20230106,2573663,46821,44837,46106,94.78,96.53,94.48
20230109,1482858,49489,47329,48660,99.51,99.01,99.98
20230110,2143084,49276,47705,48737,98.55,99.25,98.66
20230111,1855722,50002,48021,49264,98.68,98.8,96.94
20230112,1275351,48753,47012,48118,99.17,98.76,99.96
20230113,1539859,48742,47326,48278,98.47,99.63,97.53
20230116,2645389,49861,48220,49299,94.61,97.22,93.72
20230117,1754740,53601,51043,52563,98.67,98.16,99.3
20230118,1913098,53331,51256,52550,98.03,98.5,97.16
20230119,1172213,52182,50128,51409,97.68,99.94,98.8
20230120,768062,51203,49649,50684,98.47,98.31,98.42
20230125,1098681,51828,50460,51412,98.72,98.17,98.11
20230126,1063573,52931,51269,52369,99.31,98.59,98.62
20230127,2070071,53590,51882,53008,99.46,98.87,97.67
20230130,1222532,53101,50876,52242,97.29,99.95,97.96
20230131,2028531,51767,50135,51209,99.09,96.84,94.96
20230201,1153420,50096,48159,49370,99.1,98.89,99.65
20230202,1621661,49865,48437,49402,98.96,98.13,96.32
20230203,1544258,48681,47073,48113,98.84,99.84,99.0
20230206,1008263,49109,47524,48563,98.74,99.21,98.51
20230207,968888,48062,46838,47680,99.71,99.34,99.02
20230208,1095702,48332,47117,47965,97.54,98.16,98.09
20230209,1184125,49413,48056,48983,99.87,99.25,97.63
20230210,1519914,48637,47277,48192,97.76,98.29,98.65
20230213,1081141,49777,48155,49215,99.95,99.7,99.56
20230214,1674738,49604,48237,49170,99.08,96.6,95.05
20230215,2220070,47794,46219,47230,97.66,95.67,93.39
20230216,2780616,45437,43733,44794,98.58,99.0,99.11
20230217,1849029,45140,43179,44413,97.39,97.69,96.13
20230220,883308,46458,44885,45921,99.59,98.43,99.85
20230221,888857,46337,45287,46025,98.91,99.2,99.3
20230222,1134213,46690,45625,46380,99.38,98.04,96.93
20230223,1275731,45587,44435,45212,98.67,99.07,99.97
20230224,825289,45828,44596,45426,98.98,99.78,99.72
20230227,854798,45496,44527,45213,99.66,99.39,99.37
20230228,1168188,45675,44676,45386,99.19,98.73,99.97
20230302,1236834,45978,44792,45597,99.95,99.34,97.99
20230303,941138,45349,44158,44956,99.78,99.53,97.83
20230306,1624588,44625,43626,44315,98.58,98.66,98.01
20230307,2025850,43870,42548,43407,99.82,100.0,99.1
20230308,1152865,44017,42489,43479,99.62,98.7,99.95
20230309,1909133,43720,42645,43368,99.84,99.64,98.67
20230310,1491859,43514,42069,42992,98.33,99.24,98.24
20230313,824463,42498,41305,42081,99.18,99.41,98.55
20230314,1496752,42624,41765,42374,97.54,97.38,96.77
20230315,1173759,41220,40070,40794,96.65,96.79,97.13
20230316,1414819,42415,41392,42097,96.93,97.54,96.44
20230317,1695913,40782,39689,40375,96.87,97.4,97.76
20230320,719744,41759,40507,41334,98.95,99.53,99.92
20230321,781382,41564,40788,41330,97.34,98.52,98.29
20230322,1144378,42297,41475,42061,99.29,99.94,98.77
20230323,923510,42153,41145,41818,99.52,99.52,99.69
20230324,1765067,41867,40980,41595,99.24,98.31,96.91
20230327,1006600,40847,39597,40376,99.39,99.49,99.31
20230328,1330263,40422,39533,40123,98.11,97.73,98.46
20230329,1499233,41169,40111,40822,99.92,99.78,99.08
20230330,1244700,40778,39654,40378,99.95,99.14,99.81
