,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,186679,33165,30961,32002,97.83,94.25,97.27
20230103,375220,34735,33446,34317,95.22,92.46,92.76
20230104,336960,34222,32756,33660,97.69,96.34,99.37
20230105,351407,34643,33464,34328,97.35,98.29,97.22
20230106,253522,34910,33703,34572,97.62,97.4,98.47
20230109,232052,35035,33921,34767,99.61,99.62,99.91
20230110,276678,35743,34839,35658,99.6,99.6,98.55
20230111,341936,36031,35190,36004,99.5,99.74,98.87
20230112,316554,36359,35618,36424,99.56,99.24,98.68
20230113,248109,36562,35879,36675,99.69,99.36,97.7
20230116,214620,36590,35890,36686,98.5,98.76,97.24
20230117,222459,36403,35644,36443,99.3,99.88,97.63
20230118,167325,36382,35622,36425,98.52,98.51,97.39
20230119,209065,36195,35380,36182,98.04,98.62,97.5
20230120,248287,35998,35117,35929,98.45,98.94,98.07
20230125,550049,36008,35135,35948,97.98,98.56,97.82
20230126,651019,37156,36719,37501,99.21,99.54,99.73
20230127,550261,37665,37326,38105,98.99,99.12,98.93
20230130,367640,37890,37607,38375,99.32,99.04,97.8
20230131,959658,37878,37568,38330,99.93,96.36,94.26
20230201,311314,37549,37038,37856,98.38,97.97,97.55
20230202,605459,37203,36739,37511,99.21,99.97,98.62
20230203,296971,37681,37303,38088,98.02,96.52,95.93
20230206,228603,37035,36449,37231,98.67,98.33,96.15
20230207,255318,36626,35898,36695,98.54,98.16,98.07
20230208,274261,36461,35739,36532,97.62,99.28,98.07
20230209,280084,37287,36892,37649,99.5,99.06,97.83
20230210,202479,37110,36557,37335,99.76,99.84,99.64
20230213,220124,37210,36738,37501,99.84,98.79,97.4
20230214,333588,36994,36390,37170,99.71,99.56,99.54
20230215,461758,37349,36910,37682,99.46,97.76,96.34
20230216,528000,37180,36619,37411,99.95,99.67,99.43
20230217,277127,37556,37197,37973,99.04,98.51,96.67
20230220,434077,37125,36572,37353,96.18,99.65,97.15
20230221,250091,38165,38068,38802,98.87,99.02,97.62
20230222,430989,38089,37827,38577,98.16,95.65,94.6
20230223,488110,37170,36571,37361,96.17,99.92,98.71
20230224,909815,37968,37780,38530,94.92,99.42,98.04
20230227,687230,39628,39385,40370,99.69,96.49,95.68
20230228,557559,39090,39072,39840,99.72,97.18,96.11
20230302,722300,38632,38539,39293,97.07,99.51,98.99
20230303,688753,39207,39100,39954,97.05,100.0,99.51
20230306,686767,40293,39895,41011,97.56,99.74,99.61
20230307,650378,41176,40593,41882,98.15,98.77,99.56
20230308,658870,41756,41022,42441,98.77,97.32,95.85
20230309,539848,40759,40345,41471,99.29,97.86,96.06
20230310,338899,40156,39880,40877,98.6,96.15,93.55
20230313,338394,38582,38422,39167,97.8,98.08,97.6
20230314,709931,38543,38442,39182,98.57,92.77,90.86
20230315,902200,37175,36509,37321,98.71,96.72,95.31
20230316,332374,37056,36448,37275,98.06,96.01,96.46
20230317,395162,36463,35755,36551,97.76,98.09,99.32
20230320,301324,37340,36922,37698,99.84,99.53,97.7
20230321,211357,37301,36830,37606,99.34,99.95,98.36
20230322,284060,37428,37003,37768,99.94,99.31,98.61
20230323,326685,37506,37107,37871,99.09,99.85,99.41
20230324,259136,37746,37433,38191,98.04,99.78,98.16
20230327,288539,37871,37568,38324,99.68,96.93,96.14
20230328,357365,37404,36922,37693,99.74,98.57,99.08
20230329,426191,37412,37001,37766,96.55,98.93,99.25
20230330,606238,38198,38045,38795,96.34,98.95,98.72
20230331,764234,39448,39250,40178,94.15,99.12,98.92
20230403,378401,40936,40425,41661,96.63,95.0,93.18
20230404,444060,38899,38875,39609,99.49,97.29,97.52
20230405,316335,38652,38567,39308,98.6,99.04,98.03
20230406,340225,38644,38578,39315,99.34,98.48,97.75
20230407,494777,38426,38295,39037,97.28,99.86,99.58
20230410,378205,39150,39043,39880,99.75,97.93,97.48
20230411,660030,38685,38625,39361,97.69,98.36,99.72
20230412,816624,39237,39136,39973,94.55,99.13,97.73
20230413,430010,40901,40331,41602,99.26,98.41,96.25
20230414,424531,40031,39779,40746,97.76,99.57,99.52
20230417,304034,40552,40117,41254,99.03,99.92,98.26
20230418,403897,40495,40091,41193,98.53,99.85,98.54
20230419,290169,40578,40152,41280,99.21,99.63,98.7
20230420,249401,40593,40159,41288,99.61,99.85,98.43
20230421,393659,40392,40016,41087,96.86,99.17,98.77
20230424,415685,41353,40696,42030,99.53,98.13,95.97
20230425,353135,40556,40194,41260,98.92,97.98,95.68
20230426,285167,39798,39600,40516,97.9,98.85,99.71
20230427,325234,39953,39632,40647,97.21,99.28,99.87
20230428,745538,40383,39990,41074,94.91,98.86,96.76
20230502,585399,42495,41537,43165,99.99,97.44,95.61
20230503,374726,41677,41047,42367,99.11,99.63,98.52
20230504,345382,41759,41031,42437,98.72,99.23,98.48
20230508,339246,41823,41092,42498,98.64,98.42,99.05
20230509,325313,42304,41453,42973,99.54,99.51,98.53
20230510,381897,42250,41412,42910,99.18,99.55,97.83
20230511,310206,42182,41388,42855,99.49,99.01,97.72
20230512,300369,42059,41280,42732,99.43,99.83,98.5
20230515,357071,41934,41168,42601,97.52,98.61,99.76
20230516,283031,42540,41618,43200,98.47,98.39,98.71
20230517,214382,42773,41804,43428,99.13,98.48,98.65
20230518,234046,42854,41862,43503,99.2,98.73,99.18
20230519,526017,43077,42030,43719,96.26,97.29,98.24
20230522,342919,44952,43412,45573,99.23,98.22,99.17
20230523,289577,45609,43938,46208,99.54,98.63,96.63
20230524,250775,45293,43749,45901,98.79,99.32,96.62
20230525,722803,44624,43227,45241,96.59,96.92,99.21
20230526,640094,46716,44768,47316,98.97,98.39,97.92
20230530,460231,47456,45341,48033,98.81,99.43,96.14
20230531,1176695,47120,45123,47693,98.01,99.39,96.66
20230601,323857,47179,45197,47786,97.44,99.56,95.21
20230602,361190,45959,44251,46549,99.91,99.0,97.13
20230605,283928,45933,44230,46528,98.83,99.84,96.95
20230607,273099,45468,43864,46066,98.2,97.26,99.93
20230608,534374,46683,44738,47255,98.52,99.75,95.68
20230609,405964,46026,44325,46628,98.87,98.83,99.51
20230612,337485,47081,45043,47648,99.51,99.32,95.51
20230613,830589,46547,44714,47126,95.19,97.84,97.47
20230614,321018,49714,46976,50237,96.97,99.95,93.45
20230615,294692,48078,45886,48616,99.75,97.22,98.51
20230616,276192,48808,46359,49332,98.42,98.74,96.25
20230619,183296,48330,46045,48860,98.15,99.13,96.04
20230620,230121,47427,45357,47974,99.84,97.75,96.83
