,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,509935,20893,20159,20658,92.24,93.33,95.64
20230103,553748,22138,21734,22085,99.14,96.26,96.07
20230104,540395,21509,21189,21520,99.81,96.89,99.67
20230105,702581,21166,20905,21225,98.45,99.25,98.93
20230106,443151,21221,20920,21241,98.93,98.69,99.57
20230109,439700,21058,20818,21126,97.94,98.43,98.49
20230110,397099,21453,21172,21496,98.86,99.87,99.32
20230111,612490,21529,21231,21554,99.21,99.14,98.57
20230112,530327,21452,21142,21470,99.31,99.49,98.96
20230113,1218130,21500,21196,21521,93.89,99.28,94.18
20230116,509404,22235,21813,22215,96.67,96.73,98.08
20230117,387170,22948,22473,22857,99.79,99.9,98.64
20230118,278824,22855,22405,22783,99.09,99.08,98.52
20230119,1146365,22604,22195,22559,95.38,99.98,95.79
20230120,1127975,23109,22578,23008,94.13,96.28,94.88
20230125,699918,24249,23575,24045,99.59,99.68,98.54
20230126,490669,24154,23510,23952,99.36,99.96,99.8
20230127,728248,24056,23468,23901,99.4,99.44,99.8
20230130,523423,24190,23551,23997,99.0,99.14,97.23
20230131,838355,23831,23244,23663,98.88,99.55,99.09
20230201,609338,23918,23300,23740,99.66,99.57,99.96
20230202,782423,23975,23381,23816,99.69,98.34,97.79
20230203,453976,23724,23122,23552,98.83,98.81,98.48
20230206,369588,23361,22847,23248,99.41,99.55,99.78
20230207,1260200,23441,22931,23333,99.96,95.77,94.9
20230208,537252,22816,22255,22663,98.6,99.07,97.91
20230209,395228,22442,22027,22394,99.36,99.65,98.44
20230210,351371,22245,21866,22216,99.75,99.7,99.62
20230213,951244,22207,21847,22199,96.13,98.41,96.31
20230214,380134,22829,22345,22750,98.83,98.44,100.0
20230215,317359,23056,22581,22964,99.54,98.97,97.25
20230216,520610,22766,22326,22696,98.55,99.67,99.11
20230217,279485,22913,22458,22848,99.41,99.96,99.35
20230220,357378,22864,22423,22796,99.94,99.22,99.36
20230221,859378,22755,22321,22696,95.81,99.43,96.37
20230222,1453721,23285,22758,23183,94.46,97.67,96.4
20230223,823522,24118,23419,23893,99.87,99.87,99.82
20230224,982815,24107,23464,23910,97.4,98.18,98.8
20230227,976964,24547,23846,24317,99.6,96.99,95.86
20230228,829579,23929,23273,23717,97.74,97.02,95.06
20230302,712432,23147,22601,23005,99.13,100.0,99.8
20230303,524583,23119,22618,23022,99.92,99.92,99.25
20230306,606625,23080,22588,22980,99.87,99.61,98.32
20230307,744204,22966,22477,22866,99.93,99.88,98.37
20230308,729951,22832,22349,22736,97.84,97.95,97.35
20230309,1193317,22314,21888,22253,99.94,99.13,99.31
20230310,872002,22219,21764,22144,98.54,97.82,96.52
20230313,634508,21681,21306,21647,99.86,99.02,99.99
20230314,616761,21534,21223,21558,99.93,98.21,96.85
20230315,475101,21257,20953,21270,99.8,99.75,98.95
20230316,717775,21204,20943,21257,98.55,96.83,97.31
20230317,572984,20708,20471,20770,98.38,99.13,99.9
20230320,356967,20914,20676,20979,98.65,99.87,98.65
20230321,478593,20896,20677,20972,97.64,99.65,99.16
20230322,384694,21097,20857,21169,98.58,99.56,99.91
20230323,473675,21290,21024,21338,98.86,97.94,96.92
20230324,458370,20890,20652,20948,99.08,98.76,98.56
20230327,459435,20650,20452,20740,97.87,99.52,99.23
20230328,861094,20877,20659,20960,95.55,98.61,96.81
20230329,558944,21445,21135,21478,98.6,99.93,99.9
20230330,457732,21565,21247,21578,99.15,99.78,99.64
20230331,1439634,21594,21286,21615,95.55,99.24,96.93
20230403,612925,22127,21677,22071,97.26,98.53,99.87
20230404,515962,22517,22078,22452,99.92,99.65,98.18
20230405,542450,22340,21938,22298,99.82,98.67,97.72
20230406,426991,22073,21694,22044,99.67,98.63,97.71
20230407,503502,21762,21431,21764,99.94,99.15,98.06
20230410,1109353,21594,21276,21605,95.76,99.19,96.67
20230411,802894,22090,21683,22066,97.53,99.46,99.24
20230412,689086,22321,21881,22251,99.65,99.86,99.77
20230413,791219,22253,21854,22219,98.68,99.34,99.86
20230414,18318610,22448,22008,22384,81.78,94.45,84.47
20230417,17995784,26770,23965,25288,84.98,88.43,83.46
20230418,20199794,31072,27445,28980,89.8,91.64,95.02
20230419,6431312,33481,29181,30914,96.82,95.68,98.92
20230420,1799126,32597,30164,31205,95.86,96.52,92.95
20230421,1662785,30552,29005,29746,93.55,96.04,93.57
20230424,1048430,28809,27503,28163,99.51,98.05,97.28
20230425,3876913,29185,27952,28614,99.1,96.09,95.95
20230426,2483810,28690,27100,27862,97.72,98.69,97.0
20230427,2308485,27899,26603,27268,98.55,99.42,99.52
20230428,2133420,27595,26375,27023,98.03,99.52,99.17
20230502,2883293,27621,26396,27041,95.74,96.87,96.06
20230503,1767637,28658,27242,27967,99.8,99.66,99.76
20230504,1409827,28385,27126,27784,99.95,98.64,99.41
20230508,1457586,28585,27354,28004,98.91,99.11,99.63
20230509,1690137,28818,27548,28212,95.96,94.45,94.93
20230510,1928908,27367,26224,26838,96.53,98.77,97.06
20230511,1755076,27867,26665,27315,97.1,96.44,96.18
20230512,3627180,28797,27509,28184,96.63,97.74,95.81
20230515,3507527,28719,27152,27907,96.86,99.81,99.07
20230516,2369179,28678,27162,27912,98.55,98.24,98.46
20230517,1579056,28930,27541,28249,99.59,98.36,98.09
20230518,5653617,29217,27898,28582,92.17,97.04,92.65
20230519,2697937,31205,29082,30045,99.06,98.08,99.35
20230522,1979141,31197,29463,30271,99.99,99.37,99.41
20230523,2962471,31114,29517,30294,96.97,96.79,94.45
20230524,1644846,29873,28259,29019,98.56,99.5,98.7
20230525,1141084,29637,28266,28969,99.02,99.01,99.89
20230526,1394877,29561,28250,28921,98.24,99.64,98.17
20230530,4889090,29113,27816,28479,94.52,95.75,94.46
20230531,6480684,30917,28940,29847,99.13,98.1,99.16
20230601,1273560,31190,28948,29920,96.55,99.65,99.9
20230602,3112033,30349,28933,29645,95.74,95.8,95.32
20230605,3636919,31846,30003,30862,95.2,94.95,93.52
20230607,2240263,33772,31614,32583,99.49,97.57,97.7
20230608,14190858,34207,32205,33112,86.49,97.74,85.56
20230609,4590273,38773,34193,35950,99.55,93.94,97.82
20230612,2591679,38735,35777,36968,97.12,98.29,99.13
20230613,2397639,38273,35737,36804,98.07,98.72,99.31
20230614,4105890,38073,35595,36645,99.41,97.79,99.58
20230615,1899307,38603,35760,36921,97.06,99.89,98.01
20230616,2995152,37699,35344,36357,99.08,96.83,96.18
20230619,1880330,38891,36225,37346,98.46,97.25,97.51
20230620,2022996,39308,36794,37862,99.98,97.86,99.64
20230621,2532123,39702,37103,38194,99.74,98.42,98.57
20230622,2262232,39996,37282,38412,99.25,97.34,97.99
20230623,1985570,40495,37774,38904,97.09,98.73,96.12
20230626,1716788,39324,36760,37834,98.52,99.08,99.69
20230627,2771022,39131,36664,37717,99.7,97.51,96.83
20230628,6342027,39998,37242,38386,96.61,95.25,96.69
20230629,2079912,41956,38278,39688,95.37,99.81,97.84
20230630,1806695,40551,37844,38967,98.24,99.2,97.78
20230703,1999460,40666,38018,39136,99.92,96.13,96.87
20230704,6546370,41801,38987,40147,94.57,95.79,93.15
20230705,8607622,44761,40672,42218,92.39,94.26,91.09
20230706,3611006,48391,43373,45183,95.82,99.14,97.08
20230707,3335156,46565,42862,44280,98.22,98.31,98.29
