,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,1548935,62043,60099,61135,99.43,99.34,99.41
20230103,1238318,62597,60571,61560,99.84,99.95,98.65
20230104,1051604,63004,60973,61949,99.68,99.14,99.92
20230105,1591393,63075,61050,62026,98.59,99.59,98.48
20230106,1687827,62578,60507,61533,99.23,99.32,99.95
20230109,2081818,62357,60306,61332,96.98,98.38,95.68
20230110,920688,64447,62353,63335,99.93,98.82,99.12
20230111,947231,64922,62903,63794,99.19,99.37,99.37
20230112,1374463,65143,63124,64002,99.32,98.79,99.84
20230113,1611359,65276,63200,64107,99.2,98.6,98.17
20230116,1202348,66163,64073,64956,98.21,99.1,99.45
20230117,1127634,65433,63373,64265,99.9,97.95,98.87
20230118,1044133,66171,64131,64975,98.67,99.64,99.57
20230119,644579,65790,63752,64612,98.0,99.92,99.51
20230120,574744,65144,63166,64038,99.0,98.7,99.59
20230125,739046,65251,63288,64148,99.77,97.67,98.69
20230126,4288992,66090,64117,64934,94.41,98.04,93.7
20230127,3718257,69303,66920,68120,99.0,98.99,99.16
20230130,2368164,69952,67526,68619,99.65,98.58,99.97
20230131,1938157,70236,67949,68820,98.5,98.28,96.98
20230201,1858058,68845,66630,67479,98.92,98.86,97.09
20230202,1930702,70202,68022,68800,99.58,98.58,98.71
20230203,2211215,70948,68720,69494,99.09,98.59,97.6
20230206,1326873,72086,69796,70585,99.32,99.0,99.88
20230207,1352790,71898,69793,70424,99.16,99.87,98.77
20230208,1154049,72072,69965,70590,99.62,99.1,98.73
20230209,1074569,72573,70512,71083,99.48,99.45,99.14
20230210,1067878,72764,70733,71278,99.77,99.48,98.45
20230213,1443643,73237,71213,71733,99.78,98.77,98.0
20230214,1151903,74163,72024,72580,99.82,98.8,98.75
20230215,1073567,74813,72760,73225,98.9,98.94,99.14
20230216,2208024,74055,72014,72502,96.55,98.51,94.77
20230217,1121854,77196,74815,75448,99.48,99.09,98.75
20230220,847290,77355,75315,75658,99.28,99.62,99.16
20230221,800396,77476,75540,75815,99.25,99.95,98.98
20230222,1281613,77713,75798,76049,97.75,97.98,97.92
20230223,1440318,75951,73831,74284,98.25,99.1,97.23
20230224,976800,77533,75392,75795,99.31,99.74,99.34
20230227,961024,76937,74942,75272,99.03,99.0,99.04
20230228,1666461,76818,74841,75168,99.51,99.39,99.82
20230302,1916651,77111,74870,75358,98.23,98.9,96.86
20230303,1149778,78941,76616,77104,99.8,98.99,98.6
20230306,1204893,79640,77588,77831,99.57,99.89,99.15
20230307,992331,79874,77795,78044,98.89,99.75,99.43
20230308,1306974,79186,77195,77421,99.98,99.35,98.13
20230309,1315822,79674,77570,77850,99.97,99.32,99.68
20230310,851372,79781,77653,77939,98.37,99.54,99.92
20230313,1422962,79028,77109,77305,99.78,99.62,98.1
20230314,1366264,79836,77674,77987,98.81,98.2,97.79
20230315,1755601,78218,76060,76429,97.77,98.14,96.02
20230316,1099113,80894,78602,78975,98.76,99.1,99.84
20230317,1454231,80099,78070,78278,99.63,99.33,97.6
20230320,997524,81323,79133,79397,98.35,98.42,98.21
20230321,969220,79684,77678,77886,99.52,99.64,99.76
20230322,967219,79435,77459,77662,99.58,99.43,98.43
20230323,1361870,80163,78197,78366,98.01,98.97,99.96
20230324,1261980,79242,77098,77425,98.93,98.82,99.77
20230327,1635935,78674,76564,76886,97.83,98.05,98.83
20230328,792849,77210,74963,75449,99.6,98.38,98.11
20230329,1500632,78002,76101,76335,98.12,98.19,96.02
20230330,1033563,80546,78358,78664,99.19,99.8,99.07
20230331,1577792,80345,78349,78527,98.58,98.18,96.95
20230403,807758,82342,80100,80361,99.09,99.63,98.97
20230404,1009704,82410,80529,80544,99.13,98.96,99.45
20230405,1013013,81549,79561,79675,99.69,99.33,98.0
20230406,1364098,82480,80510,80576,99.37,99.4,99.48
20230407,1128013,82940,80784,80945,98.23,99.02,98.95
20230410,1009786,81598,79554,79703,99.51,99.93,98.4
20230411,3307242,82270,80300,80371,96.22,99.14,94.55
20230412,2437920,85616,82681,83440,98.98,98.31,96.91
20230413,1305756,87215,84507,84925,99.29,99.42,98.07
20230414,1163781,87322,85182,85142,99.63,99.79,99.81
20230417,1161544,86806,84734,84663,98.23,99.37,99.81
20230418,2125174,85718,83651,83631,97.47,96.73,98.87
20230419,1758223,83598,81081,81485,97.32,98.52,95.42
20230420,1200517,86335,83980,84148,98.67,99.55,99.94
20230421,945223,85221,83135,83148,98.3,98.86,99.82
20230424,938376,84185,82237,82209,99.16,98.49,97.06
20230425,2444751,85799,83881,83765,98.51,99.54,96.73
20230426,3309719,87417,84716,85123,97.45,99.43,99.33
