,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,34163,152163,149473,150940,90.84,91.42,92.32
20230103,42373,166833,163811,165229,99.19,98.25,98.63
20230104,44201,164999,162039,163458,99.4,99.98,99.41
20230105,111359,165043,162088,163512,99.67,97.41,97.48
20230106,53267,162951,159986,161485,99.97,98.74,99.68
20230109,47818,162465,159554,160964,97.58,98.19,97.55
20230110,66122,167106,164004,165447,98.59,100.0,98.77
20230111,62081,168758,165567,167103,99.85,99.74,99.34
20230112,88453,169071,165929,167430,98.3,99.36,98.2
20230113,116685,172230,168817,170440,97.03,98.72,96.57
20230116,65942,177649,173910,175686,99.63,99.47,98.74
20230117,102290,176404,172956,174594,99.1,98.86,99.77
20230118,99311,177197,173571,175286,98.99,99.96,97.93
20230119,119146,180135,176339,178105,98.43,99.81,97.59
20230120,98760,182926,178977,180838,99.49,98.88,98.69
20230125,37103,181501,177761,179507,99.17,99.85,100.0
20230126,75256,181448,177766,179456,99.1,99.96,98.22
20230127,68520,183902,179992,181791,99.14,99.11,99.23
20230130,140012,185903,181960,183761,98.75,96.44,96.0
20230131,403386,181070,177303,179063,97.53,92.87,92.07
20230201,161309,171905,168251,170091,96.94,97.97,97.29
20230202,154673,168254,164977,166623,99.67,99.68,99.32
20230203,148557,168657,165371,167011,99.43,99.71,99.87
20230206,119317,168637,165340,166995,99.32,99.67,98.67
20230207,180893,167939,164762,166340,98.46,98.73,98.2
20230208,126802,166048,162853,164507,98.75,99.78,98.83
20230209,119990,165285,162197,163751,99.09,99.57,99.17
20230210,83962,164619,161559,163103,99.07,99.85,99.88
20230213,83657,164471,161468,162952,99.22,99.92,99.41
20230214,111285,164439,161450,162921,99.12,99.97,99.31
20230215,136659,164247,161219,162735,99.23,98.92,98.29
20230216,118189,163037,160033,161575,99.48,99.83,99.39
20230217,97276,162847,159860,161378,99.91,99.73,99.86
20230220,67611,163485,160492,161985,99.64,99.62,99.99
20230221,79630,164096,161130,162568,99.76,99.65,99.96
20230222,115471,164533,161532,163006,98.25,99.04,98.12
20230223,100681,162517,159580,161089,99.58,99.55,99.75
20230224,75266,163440,160439,161938,99.36,99.9,99.42
20230227,89825,163018,160099,161548,98.49,98.99,99.1
20230228,154126,161768,158874,160328,99.65,99.83,98.91
20230302,136127,161459,158498,160055,99.9,99.94,99.35
20230303,94828,162009,158999,160551,99.76,99.44,99.97
20230306,91193,162866,159920,161396,99.28,99.99,99.63
20230307,147976,163101,160138,161598,98.7,99.03,98.11
20230308,159674,161591,158639,160181,97.86,97.98,97.12
20230309,157786,158569,155728,157262,98.87,98.61,97.75
20230310,89304,156736,153957,155467,99.33,98.65,99.11
20230313,104198,155544,152871,154246,99.71,99.63,99.0
20230314,154339,156630,153880,155287,98.69,97.69,97.02
20230315,116310,154238,151575,153064,99.45,99.08,98.57
20230316,88941,153591,150958,152341,98.89,99.16,99.44
20230317,101522,152755,150184,151518,98.42,99.0,97.88
20230320,49022,155574,152855,154238,99.95,99.45,99.78
20230321,93940,156257,153631,154929,98.77,99.31,98.49
20230322,72212,158389,155573,156982,99.88,99.66,99.76
20230323,80048,159148,156379,157751,98.57,99.37,98.94
20230324,88055,158080,155342,156722,98.67,99.32,98.89
20230327,77548,157013,154308,155695,99.03,98.88,98.96
20230328,98301,156252,153580,154929,98.64,99.02,98.24
20230329,81200,158812,155971,157392,99.44,98.84,98.99
20230330,77665,160709,157849,159266,99.37,99.84,99.64
20230331,101089,160932,158085,159494,98.91,99.37,99.37
20230403,90593,160421,157556,159004,99.86,99.97,99.17
20230404,75294,160688,157835,159260,99.26,99.91,99.91
20230405,73897,160626,157774,159182,99.95,99.35,99.49
20230406,68079,161673,158794,160215,99.02,99.11,98.21
20230407,51316,160454,157659,159048,98.32,99.0,98.44
20230410,55282,158877,156151,157484,99.44,99.71,99.18
20230411,119809,158326,155612,156953,98.77,99.8,98.16
20230412,185443,160151,157215,158715,97.36,97.95,97.61
20230413,103455,164625,161426,163088,99.19,99.86,99.95
20230414,93117,164312,161284,162807,99.93,99.31,99.94
20230417,82936,165163,162123,163627,98.92,98.99,99.68
20230418,90551,164577,161561,163039,99.71,99.59,99.67
20230419,119681,164139,161148,162649,99.0,99.11,98.34
20230420,108882,166597,163410,164997,99.94,99.34,99.76
20230421,92333,167575,164406,165976,98.93,99.2,99.41
20230424,86820,166835,163721,165250,99.96,99.71,99.54
20230425,227033,167204,164092,165615,98.47,99.63,98.52
20230426,176666,169943,166421,168223,99.38,97.21,96.35
20230427,119603,166965,163772,165401,98.25,98.53,97.9
20230428,107683,164638,161578,163116,99.6,99.62,99.64
20230502,85742,165679,162569,164113,98.91,99.37,98.57
20230503,62800,167757,164576,166124,99.67,99.38,99.54
20230504,76466,168476,165340,166851,99.36,99.96,99.85
20230508,74975,168560,165403,166933,99.92,99.76,99.68
20230509,91429,168930,165760,167294,99.21,99.96,99.7
20230510,55032,168956,165749,167305,99.19,99.91,99.4
20230511,60150,168661,165537,167025,99.25,99.72,99.78
20230512,84676,169146,165973,167482,99.08,98.3,97.81
20230515,55083,167247,164159,165669,98.33,98.6,98.24
20230516,70328,164935,161971,163410,99.25,99.08,98.63
20230517,51289,163853,160911,162355,99.17,99.62,99.9
20230518,43839,163324,160409,161820,99.16,98.65,98.25
20230519,61419,165948,162918,164349,99.79,99.34,99.36
20230522,252066,167027,163950,165437,95.23,99.06,94.92
20230523,91438,174070,170198,172174,98.96,98.38,98.5
20230524,101980,177180,173600,175282,98.98,99.94,99.93
20230525,52553,178364,174710,176433,98.54,99.01,99.01
20230526,65713,177019,173529,175151,99.19,99.35,98.52
20230530,58024,175623,172199,173819,98.72,99.06,98.35
20230531,133524,174030,170679,172254,98.94,98.41,98.07
20230601,71560,171981,168600,170261,99.87,99.82,99.51
