,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,2059497,11008,10880,10942,94.09,97.14,97.26
20230103,2183993,11428,11355,11434,99.37,97.7,99.86
20230104,2855036,11386,11324,11396,95.68,99.77,95.76
20230105,4531914,11716,11638,11710,94.1,98.21,94.44
20230106,3900142,12274,12166,12249,96.65,98.91,98.39
20230109,2795327,12550,12431,12524,98.82,98.93,99.0
20230110,2435948,12512,12391,12494,98.52,99.26,98.38
20230111,2687370,12634,12510,12612,99.48,98.7,97.88
20230112,2818179,12489,12369,12472,99.51,99.85,99.01
20230113,4037630,12495,12380,12471,97.62,99.35,97.81
20230116,6163074,12697,12566,12673,94.75,98.94,95.29
20230117,3369812,13248,13083,13232,99.61,98.19,97.03
20230118,2369189,13014,12867,13005,99.12,97.88,98.4
20230119,2624786,12824,12689,12808,99.42,97.67,97.54
20230120,2198932,12578,12456,12559,98.27,99.95,98.89
20230125,2263463,12727,12601,12704,98.28,98.83,98.56
20230126,4693207,12973,12833,12956,97.03,99.56,96.9
20230127,3675353,13340,13172,13329,98.81,99.64,98.88
20230130,3127477,13504,13328,13508,99.96,99.94,99.49
20230131,4524749,13519,13344,13526,99.86,95.59,94.25
20230201,2662426,12959,12805,12955,99.62,98.93,98.79
20230202,3243812,12877,12741,12859,99.79,97.83,97.54
20230203,2812319,12657,12527,12640,99.5,98.98,99.04
20230206,2858638,12610,12488,12588,99.04,97.81,97.91
20230207,1963216,12387,12273,12368,99.86,99.65,99.45
20230208,3442538,12363,12255,12342,96.51,99.55,96.42
20230209,3300649,12724,12594,12699,98.48,98.44,97.84
20230210,2379611,12587,12458,12572,98.8,99.45,99.38
20230213,3204914,12669,12545,12646,97.83,99.88,97.65
20230214,3285926,12914,12775,12891,99.88,97.8,97.61
20230215,4085986,12687,12555,12672,98.91,96.75,96.13
20230216,3043985,12324,12209,12307,99.8,98.6,98.54
20230217,2447769,12206,12102,12186,97.73,99.98,98.27
20230220,1206388,12384,12275,12361,99.55,99.96,99.77
20230221,1439823,12422,12312,12402,99.46,99.58,99.9
20230222,1665701,12433,12322,12413,99.41,98.67,98.17
20230223,1804960,12276,12171,12257,98.76,99.84,99.62
20230224,2745395,12334,12230,12312,99.47,99.59,99.98
20230227,1983694,12364,12256,12340,99.32,98.12,98.44
20230228,2772077,12186,12084,12169,99.4,99.79,99.75
20230302,4031150,12256,12154,12234,99.79,97.52,97.71
20230303,3021688,12047,11947,12031,99.86,97.71,97.26
20230306,2968575,11836,11747,11826,99.8,99.08,98.84
20230307,1857755,11773,11693,11764,99.27,99.63,99.86
20230308,2202726,11800,11721,11792,99.41,99.13,98.78
20230309,2894562,11750,11670,11744,99.74,98.96,98.58
20230310,2961524,11669,11592,11663,97.82,97.05,96.79
20230313,2047813,11388,11325,11391,99.63,98.43,99.92
20230314,3190350,11370,11311,11380,99.02,97.17,96.64
20230315,3159120,11190,11134,11201,98.42,98.69,99.09
20230316,3285192,11231,11175,11245,97.9,97.29,97.31
20230317,4092995,11056,11015,11075,98.19,99.95,99.86
20230320,2194665,11200,11149,11214,99.38,98.65,98.24
20230321,2968024,11173,11126,11190,98.88,99.13,99.29
20230322,2280459,11257,11205,11271,98.06,99.96,99.72
20230323,1771366,11378,11313,11386,98.23,97.8,98.16
20230324,1883684,11216,11168,11231,99.05,98.29,97.99
20230327,1319731,11133,11088,11151,99.34,98.18,98.54
20230328,1664838,11088,11046,11111,98.82,99.6,99.29
20230329,1487193,11239,11190,11256,99.55,99.46,99.95
20230330,1933125,11278,11228,11292,99.63,99.12,99.0
20230331,2399017,11288,11231,11301,98.93,99.63,99.04
20230403,1474356,11385,11326,11393,99.78,99.23,98.91
20230404,1477816,11369,11309,11378,99.99,99.3,99.75
20230405,1213205,11372,11315,11382,99.75,99.69,99.36
20230406,2532490,11384,11327,11393,99.7,97.68,97.27
20230407,2251233,11254,11196,11265,98.98,99.14,99.51
20230410,2403073,11311,11257,11323,99.13,99.49,98.9
20230411,2690170,11334,11276,11343,99.68,98.87,99.71
20230412,1920821,11332,11275,11341,99.23,99.96,99.57
20230413,2289701,11420,11359,11427,99.74,99.3,99.68
20230414,3255002,11411,11350,11416,97.36,99.47,97.82
20230417,1831062,11635,11561,11631,98.69,99.73,99.47
20230418,1879229,11669,11592,11666,99.92,98.94,99.95
20230419,2025210,11637,11564,11635,98.62,99.18,99.11
20230420,1979541,11777,11699,11769,99.86,99.32,99.92
20230421,1172230,11755,11676,11748,99.53,99.97,99.98
20230424,1720424,11782,11706,11775,99.34,99.52,99.1
20230425,3193596,11768,11687,11763,98.07,99.97,98.68
20230426,2313508,11914,11826,11901,99.54,98.4,98.71
20230427,1979105,11782,11700,11774,99.64,98.7,98.67
20230428,2574135,11674,11599,11670,99.35,99.99,99.49
20230502,1670659,11744,11665,11737,99.86,99.44,99.85
20230503,1959304,11729,11653,11722,99.15,98.4,98.6
20230504,1021844,11594,11522,11592,99.35,99.81,99.5
20230508,1832864,11636,11567,11635,98.44,99.29,98.85
20230509,1224312,11789,11710,11781,99.65,99.91,99.67
20230510,1790524,11824,11743,11816,99.88,98.59,98.84
20230511,2230408,11721,11643,11716,98.41,99.77,99.12
20230512,1494669,11838,11756,11827,99.9,99.61,99.34
20230515,1466560,11809,11729,11801,99.65,99.92,99.92
20230516,1455657,11835,11755,11825,99.54,99.87,99.79
20230517,1556133,11849,11768,11839,99.24,99.07,98.9
20230518,1171244,11749,11673,11741,99.06,99.51,99.0
20230519,2617813,11861,11779,11852,98.27,99.23,98.44
20230522,1673318,12045,11953,12027,99.14,99.86,99.98
20230523,1274962,12094,12002,12076,99.72,99.73,99.37
20230524,1406363,12061,11969,12045,99.74,99.34,99.71
20230525,1578453,12020,11930,12005,99.83,98.98,98.95
20230526,984327,11929,11842,11917,99.76,99.73,99.6
20230530,1945230,11899,11818,11888,98.42,99.48,99.4
20230531,4050502,12022,11933,12006,99.6,99.64,99.78
20230601,1798785,12037,11944,12017,99.44,98.87,98.51
20230602,1856371,11913,11826,11902,99.86,99.95,99.9
20230605,2051756,11929,11844,11915,98.59,99.11,98.96
20230607,2435417,12087,11995,12069,99.98,99.62,99.17
20230608,2139915,12056,11962,12039,99.62,99.48,99.76
