,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,547689,46818,46070,46555,96.04,96.89,97.8
20230103,1031515,47973,47757,48102,97.31,99.03,98.07
20230104,1083324,49143,48582,49063,96.93,99.31,97.15
20230105,2515852,50326,49569,50123,93.37,98.16,92.99
20230106,2935706,54236,52368,53373,94.32,98.07,94.13
20230109,2076859,57516,55033,56306,99.97,98.45,98.44
20230110,1926580,58332,56029,57258,99.25,99.52,99.06
20230111,1804800,58532,56246,57466,98.73,99.38,98.11
20230112,1818316,57723,55595,56748,98.55,99.1,99.56
20230113,1708096,57594,55491,56632,99.64,99.45,98.66
20230116,3019556,58262,56096,57279,96.62,98.07,95.46
20230117,1750057,60898,57928,59433,99.67,98.68,99.44
20230118,1487071,60725,58169,59540,96.9,98.48,98.22
20230119,1604477,59389,57131,58372,98.31,99.42,97.95
20230120,1496054,58352,56201,57374,98.87,99.12,99.34
20230125,1649210,58137,56070,57217,99.04,98.37,97.81
20230126,1352210,59408,57095,58358,99.85,98.61,99.08
20230127,1920720,59833,57555,58818,97.55,99.73,98.06
20230130,1233861,58775,56450,57683,99.87,98.69,99.33
20230131,1402754,58592,56549,57704,98.98,98.11,96.77
20230201,1357747,57329,55407,56491,98.17,99.47,98.42
20230202,1559017,58319,56272,57427,99.1,99.51,98.18
20230203,1220051,57776,55735,56866,99.52,99.76,99.94
20230206,1198785,57656,55764,56848,97.95,98.61,97.94
20230207,1100439,56510,54799,55791,99.27,99.63,99.48
20230208,1830445,56411,54767,55742,98.62,98.68,99.92
20230209,2044662,57249,55190,56316,98.67,97.8,96.1
20230210,1148965,55793,53858,54909,99.83,99.37,98.58
20230213,1312990,56246,54611,55581,99.92,99.11,99.49
20230214,1964766,56329,54608,55601,99.23,96.77,95.09
20230215,3313779,54638,52897,53863,96.32,94.84,93.13
20230216,3233661,51846,50044,51000,97.74,98.49,97.59
20230217,2911779,50847,49225,50109,99.9,99.95,99.78
20230220,1632737,50842,49320,50161,99.92,99.44,98.94
20230221,1464064,51088,50014,50693,99.39,99.04,99.82
20230222,1511960,51299,50263,50932,99.02,98.87,97.52
20230223,1541622,50426,49486,50110,99.66,99.62,99.78
20230224,1348402,50499,49540,50172,98.63,99.28,98.96
20230227,1006540,51138,50172,50815,99.93,99.66,99.58
20230228,1452723,50927,50132,50712,98.5,99.08,98.85
20230302,1628359,51817,50714,51414,99.65,98.98,98.39
20230303,1077928,51518,50378,51091,98.98,98.84,97.82
20230306,1162559,50593,49815,50388,99.99,99.97,99.63
20230307,1266350,50734,49912,50505,98.51,99.82,99.42
20230308,1294264,51243,50293,50931,99.92,99.61,99.35
20230309,1545967,50999,50067,50691,99.03,99.93,99.98
20230310,1165480,51275,50202,50882,97.86,98.27,97.62
20230313,1003507,49991,49248,49792,98.8,99.6,98.99
20230314,1941848,50457,49729,50280,97.96,97.04,96.12
20230315,1195377,48987,48058,48657,98.07,98.78,99.3
20230316,1452245,49584,48899,49430,98.6,98.02,97.13
20230317,1765098,48532,47862,48367,97.45,99.4,99.83
20230320,998405,49320,48435,49037,99.86,98.67,98.68
20230321,922158,48784,48278,48734,99.86,99.73,99.41
20230322,871351,48810,48345,48789,98.31,98.87,99.27
20230323,911009,49689,49146,49635,99.11,98.98,98.6
20230324,2207548,49210,48692,49154,99.06,96.4,95.53
20230327,1477169,48013,47118,47712,97.84,98.34,97.83
20230328,1680191,47157,46657,47098,97.33,98.33,98.33
20230329,1092869,48587,47843,48391,99.2,99.49,99.29
20230330,1629175,48310,47830,48270,99.14,98.34,97.73
20230331,1326697,47803,47162,47658,99.8,99.44,99.98
20230403,785639,47944,47410,47866,99.59,99.34,98.8
20230404,782773,47690,47420,47785,99.77,99.43,99.93
20230405,833675,47965,47669,48045,99.31,99.83,99.59
20230406,1505185,48254,47899,48300,99.16,97.21,96.46
20230407,635365,47409,46862,47325,99.88,99.11,99.31
20230410,846981,47297,47142,47465,99.79,98.51,98.03
20230411,1028805,46989,46766,47107,99.34,99.54,99.67
20230412,1613515,47398,47065,47453,99.47,98.89,98.82
20230413,1165017,47395,46817,47289,99.8,99.21,99.81
20230414,1848926,47454,47047,47455,96.45,98.94,97.54
20230417,860465,49196,48297,48901,99.7,99.38,98.96
20230418,856233,48817,48374,48812,99.73,98.59,99.15
20230419,1367592,48645,48219,48644,97.98,99.32,98.37
20230420,1445434,49781,48999,49562,98.58,99.59,98.34
20230421,1050932,50685,49743,50371,99.43,99.79,99.46
20230424,1162617,50462,49717,50274,99.48,98.64,97.82
20230425,1100293,49725,49022,49554,98.86,99.84,99.61
20230426,849300,50177,49454,50004,98.63,98.24,97.85
20230427,1062246,49243,48741,49198,99.5,98.67,98.04
20230428,2432073,48727,48203,48665,98.04,99.29,98.31
20230502,890785,50133,48889,49625,99.03,99.82,99.75
20230503,814233,49591,49026,49506,99.1,98.07,97.5
20230504,1429517,48653,48237,48657,99.6,99.3,99.91
20230508,1339222,49018,48308,48837,98.83,99.2,99.16
20230509,1107796,49657,48902,49454,99.58,99.27,99.38
20230510,758119,49396,48766,49268,99.4,98.51,98.63
20230511,2004475,48826,48418,48839,98.34,98.91,99.27
20230512,2291609,49940,48885,49551,98.08,99.0,98.04
20230515,762706,49277,48198,48863,99.84,99.58,99.87
20230516,1293549,49165,48729,49171,98.72,99.35,99.74
20230517,655832,49849,49092,49651,99.19,99.5,98.36
20230518,802540,49226,48823,49251,99.25,99.23,99.5
20230519,1151186,49841,49305,49789,99.62,99.68,99.42
20230522,871022,49820,49122,49654,99.74,99.84,99.38
20230523,1007078,49760,49190,49681,99.98,99.68,99.43
20230524,667443,49863,49228,49744,99.37,99.74,99.1
20230525,1212363,49555,49106,49553,98.87,98.12,97.41
20230526,823036,48748,48153,48636,99.07,99.26,98.57
20230530,1016913,48265,47908,48306,99.52,99.98,99.91
20230531,2285762,48682,48197,48647,99.83,99.27,98.65
20230601,1985923,48712,47709,48344,98.52,98.06,96.7
20230602,1151593,47618,46860,47400,99.75,99.7,99.89
20230605,1567190,47836,47402,47829,97.62,98.75,98.51
20230607,1483010,49120,48350,48908,99.94,99.9,98.95
