,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,808240,22816,21957,22407,98.13,97.15,97.42
20230103,608881,23457,22580,22903,98.01,97.6,97.75
20230104,434160,23050,22181,22512,98.9,98.95,99.39
20230105,645877,22923,22067,22391,99.67,98.96,97.78
20230106,1258257,23233,22363,22691,96.6,98.95,96.15
20230109,929819,23894,22980,23316,99.35,97.37,97.56
20230110,996749,24518,23625,23960,99.72,98.23,98.4
20230111,804324,24969,24068,24406,98.91,99.09,97.88
20230112,658359,24851,23961,24295,97.52,99.11,98.13
20230113,1066321,24620,23741,24072,99.68,99.54,98.45
20230116,572761,25014,24107,24445,99.14,99.41,99.4
20230117,625430,25211,24333,24662,96.68,98.61,98.09
20230118,653698,24900,24020,24353,98.78,98.65,98.74
20230119,467513,24841,23961,24290,97.35,98.9,98.58
20230120,528649,24562,23693,24022,99.34,99.34,98.65
20230125,419527,24837,23963,24292,98.83,99.64,99.62
20230126,549125,24980,24112,24439,98.66,99.84,99.63
20230127,992209,25082,24206,24535,99.87,99.98,99.74
20230130,666085,25299,24394,24733,97.99,98.78,98.01
20230131,2810868,25145,24261,24592,96.71,98.7,95.13
20230201,2500313,25966,24939,25324,96.53,97.42,95.74
20230202,1342190,27227,26218,26604,98.22,97.98,96.48
20230203,675596,26928,25992,26342,97.22,99.06,98.49
20230206,714223,26823,25923,26262,97.62,97.54,97.81
20230207,728586,26568,25667,26004,98.79,99.74,99.79
20230208,585838,26776,25872,26212,97.41,99.72,98.8
20230209,718167,26821,25926,26263,97.24,98.92,98.6
20230210,950570,26714,25812,26152,99.38,99.66,99.25
20230213,1825613,27179,26259,26605,99.89,99.84,98.17
20230214,1058553,27825,26847,27222,97.89,99.8,99.92
20230215,1096194,28112,27177,27533,97.59,98.02,97.07
20230216,1303088,27898,26965,27315,99.99,99.76,98.97
20230217,1922717,28483,27529,27892,99.07,98.79,99.08
20230220,1116925,28984,27989,28371,97.4,97.29,97.76
20230221,880333,28791,27846,28201,98.27,99.29,98.56
20230222,915015,28938,28005,28356,95.72,96.85,95.94
20230223,985896,28258,27329,27680,96.87,97.07,97.1
20230224,547291,27931,27002,27350,97.31,98.49,97.95
20230227,832580,27818,26914,27252,97.73,98.05,99.81
20230228,1644251,27896,26972,27321,98.19,96.26,95.92
20230302,979371,27472,26514,26873,99.19,98.61,99.35
20230303,696231,27759,26828,27179,98.13,99.9,99.52
20230306,725302,28012,27098,27443,98.32,99.08,98.17
20230307,947116,28110,27195,27536,98.88,99.09,98.39
20230308,834093,28250,27321,27669,96.71,97.29,97.9
20230309,3992979,27914,26990,27339,94.78,98.86,95.42
20230310,2430495,29448,28330,28775,98.98,99.75,99.91
20230313,1924833,29968,28943,29340,98.59,97.0,99.63
20230314,2159395,30116,29106,29499,99.11,97.51,97.93
20230315,2583084,30100,29089,29475,98.69,99.11,97.6
20230316,1993922,31218,30165,30584,96.63,96.16,96.33
