,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,1221954,14295,13601,13980,71.12,70.47,72.25
20230103,1628308,19694,19293,19339,99.01,96.83,98.48
20230104,1295311,19280,18838,18905,99.13,99.41,98.21
20230105,1467939,19473,19058,19110,97.36,98.75,97.75
20230106,1304187,19927,19513,19551,99.64,98.37,98.25
20230109,1302463,19978,19578,19612,98.9,99.13,98.31
20230110,1296447,20250,19866,19890,99.26,99.83,99.2
20230111,1037491,20331,19948,19970,99.66,99.0,98.13
20230112,1199938,20598,20243,20250,99.28,98.53,98.5
20230113,3060978,20279,19908,19933,94.54,99.04,93.36
20230116,986614,21457,20985,20981,98.88,99.69,98.04
20230117,999484,21560,21239,21216,99.35,99.82,98.45
20230118,855162,21669,21351,21322,99.68,98.57,99.17
20230119,644071,21564,21256,21231,99.94,99.5,99.44
20230120,1058066,21412,21118,21096,99.59,99.2,98.81
20230125,2170717,21456,21129,21110,96.65,98.5,95.3
20230126,1545217,22239,21849,21809,98.68,98.14,99.96
20230127,12028994,21812,21466,21443,89.95,96.69,92.03
20230130,3410725,23073,22480,22431,99.45,98.05,98.5
20230131,2179607,22234,21799,21787,99.48,99.77,99.83
20230201,2219428,21979,21596,21574,97.04,99.29,95.88
20230202,1714888,22572,22187,22135,98.35,99.49,98.82
20230203,1472496,22627,22286,22234,99.68,98.93,98.38
20230206,1366824,22646,22319,22262,99.8,97.85,98.11
20230207,1143188,22048,21722,21693,99.99,99.67,98.83
20230208,849722,22015,21698,21659,99.17,98.85,98.23
20230209,1136894,22204,21914,21865,99.07,99.01,99.24
20230210,1216493,21820,21503,21475,98.51,99.52,97.84
20230213,1649974,22033,21705,21667,98.93,96.89,98.75
20230214,2090855,21488,21126,21117,95.93,96.91,95.34
20230215,1606859,22411,22031,21984,99.83,99.63,99.93
20230216,1460805,22203,21860,21823,99.99,99.72,98.3
20230217,924786,22257,21924,21879,99.14,99.43,98.78
20230220,1366186,22177,21880,21835,99.42,98.0,99.38
20230221,1168170,21760,21425,21403,98.46,98.73,97.29
20230222,1445516,22106,21786,21744,99.97,99.14,99.06
20230223,5763386,21942,21603,21572,93.57,96.44,94.61
20230224,2347926,23050,22541,22486,98.5,98.65,97.55
20230227,1524681,23134,22765,22696,99.64,98.6,99.8
20230228,1999832,22689,22368,22315,98.01,99.41,98.96
20230302,1494238,22723,22367,22315,99.01,99.7,99.4
20230303,1524268,22581,22254,22202,98.82,99.76,98.9
20230306,1789766,22621,22291,22237,99.01,97.04,99.15
20230307,1899931,22058,21701,21673,99.81,98.83,99.2
20230308,1881516,21728,21356,21342,97.99,97.33,98.85
20230309,1480527,21185,20800,20803,99.69,99.03,99.01
20230310,1105664,20926,20556,20564,98.66,97.99,99.58
20230313,1125095,20669,20314,20322,99.85,99.44,99.86
20230314,1538381,20570,20214,20227,98.92,98.63,98.61
20230315,898103,20187,19791,19824,98.47,98.71,98.38
20230316,1110133,20482,20132,20142,99.84,98.88,99.22
20230317,1778167,20435,20069,20085,99.83,99.4,98.46
20230320,770141,20543,20137,20158,99.97,99.82,99.71
20230321,1007446,20388,20051,20066,98.73,99.02,98.36
20230322,777795,20691,20340,20344,99.31,99.8,99.78
20230323,1005449,20585,20254,20260,99.09,98.98,99.45
20230324,1011106,20388,20033,20050,99.07,99.78,99.26
