,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,691041,68798,65477,66854,90.52,90.31,90.83
20230103,851220,76223,72411,73960,97.55,96.56,96.41
20230104,555372,74379,70701,72215,96.84,97.83,99.42
20230105,1516452,73333,69990,71381,98.71,93.31,93.14
20230106,528494,71221,67720,69193,95.57,97.08,96.73
20230109,525011,68747,66058,67190,99.93,98.45,98.81
20230110,509002,69961,67124,68327,99.34,99.89,99.52
20230111,1645058,70269,67377,68598,95.22,98.07,93.2
20230112,1783257,73906,70172,71676,93.91,95.34,91.07
20230113,1261374,79281,74711,76551,98.61,96.15,95.45
20230116,1240773,82016,77141,79093,99.65,98.27,97.89
20230117,1104856,83047,78018,80031,99.82,97.52,98.93
20230118,1094588,83776,78704,80727,96.83,97.25,95.43
20230119,765210,80882,76164,78096,96.31,98.58,96.56
20230120,723686,78412,74235,75923,97.63,99.78,99.77
20230125,849026,78036,73965,75608,98.92,99.82,98.65
20230126,904656,77795,73661,75349,99.48,99.14,97.1
20230127,628559,78887,74634,76316,99.12,97.56,98.47
20230130,1138773,79835,75563,77291,98.32,99.69,99.75
20230131,978439,80230,75634,77475,99.29,98.87,96.36
20230201,770969,81621,76946,78785,99.66,96.18,97.51
20230202,633973,83547,78689,80637,97.61,98.98,99.83
20230203,698632,83082,78359,80260,99.05,98.44,98.6
20230206,1067542,83501,78695,80601,98.93,99.61,96.64
20230207,776864,84677,79501,81535,99.62,96.48,97.76
20230208,444883,86305,81055,83154,98.23,97.54,99.11
20230209,677743,86583,81534,83552,98.85,97.65,98.76
20230210,1247021,87135,81847,83938,97.9,97.79,95.49
20230213,687968,89486,83562,85873,99.79,96.16,98.14
20230214,775412,90669,84878,87182,99.48,97.45,97.96
20230215,647806,91633,85666,88008,97.96,99.61,98.96
20230216,581021,90343,84598,86905,98.38,98.26,99.09
20230217,463264,90279,84625,86856,98.68,99.44,98.48
20230220,540262,90063,84514,86699,99.71,97.82,99.2
20230221,458648,90561,84882,87146,97.67,98.13,99.26
20230222,1063145,90263,84707,86902,98.86,98.38,99.65
20230223,503174,90314,84322,86702,98.98,97.82,97.42
20230224,959293,91140,85448,87675,98.53,96.23,95.09
20230227,1224091,94351,87900,90411,98.55,99.08,98.41
20230228,693508,92737,86278,88935,99.09,97.49,98.82
20230302,581801,93038,86932,89333,98.32,98.45,98.28
20230303,736845,93347,87275,89674,99.41,96.22,95.7
20230306,727745,96094,89554,92098,98.16,95.17,95.54
20230307,484358,99543,92540,95254,98.53,96.5,97.9
20230308,475960,100380,93460,96163,98.09,97.76,99.86
20230309,478336,99561,92736,95413,97.99,97.41,98.16
20230310,443432,100076,93198,95895,97.67,98.41,99.69
20230313,609113,98846,92136,94789,96.93,99.52,99.15
20230314,602698,97581,90893,93529,99.98,96.49,98.45
20230315,741996,98671,91858,94553,98.67,95.89,95.22
20230316,795177,102436,95038,97898,97.26,98.9,97.81
20230317,828993,99514,92383,95267,99.58,97.86,99.82
20230320,540229,99288,92207,95020,99.1,97.47,99.29
20230321,493406,99147,92335,94987,98.83,95.78,97.52
20230322,2152452,100816,93846,96570,97.02,94.32,93.76
