,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,388253,50818,49896,50494,99.64,99.0,99.4
20230103,498410,51158,50287,50726,99.3,99.22,99.55
20230104,1258246,50851,49957,50382,97.04,99.12,96.7
20230105,815436,51830,51085,51398,96.7,98.05,95.89
20230106,856936,53562,52944,53306,99.37,99.35,99.27
20230109,820669,53736,53147,53480,98.06,98.6,97.59
20230110,961905,54939,54436,54778,99.89,99.93,99.6
20230111,726363,55282,54830,55132,99.97,99.39,99.21
20230112,693148,55209,54721,55052,99.44,98.66,99.72
20230113,729229,55030,54522,54868,99.51,99.86,99.76
20230116,473287,55290,54804,55142,99.98,99.83,99.71
20230117,665211,55346,54828,55205,99.92,99.58,99.81
20230118,656456,55348,54860,55202,99.73,98.97,99.27
20230119,701497,55123,54618,54962,99.32,99.97,99.03
20230120,773354,55485,55004,55357,99.08,99.46,99.03
20230125,1044251,56071,55639,55975,98.2,98.48,98.55
20230126,1418446,57339,57019,57320,99.55,99.61,99.51
20230127,1302071,57819,57580,57826,99.35,99.97,99.36
20230130,1164714,58387,58156,58417,99.85,97.97,98.05
20230131,1949266,57984,57720,57978,98.45,95.05,94.59
20230201,1111460,56519,56315,56416,99.97,97.79,99.44
20230202,1245091,56515,56155,56454,98.8,99.74,99.39
20230203,852866,57360,57073,57341,99.54,98.99,99.58
20230206,717298,57260,56908,57230,98.83,97.28,96.7
20230207,828078,56126,55697,56011,99.24,98.92,99.08
20230208,1037633,55794,55356,55677,97.88,98.85,97.68
20230209,701308,57066,56723,57041,99.53,98.89,99.58
20230210,641395,56770,56368,56707,99.7,99.34,99.46
20230213,458833,56554,56134,56477,99.73,99.58,99.33
20230214,677072,56258,55794,56164,99.22,99.28,99.41
20230215,663438,56714,56305,56654,99.98,98.55,98.47
20230216,1008492,56332,55902,56239,99.53,99.82,99.54
20230217,641727,56709,56348,56654,98.91,98.84,98.47
20230220,432218,56096,55653,55989,99.65,99.18,99.84
20230221,443584,55789,55291,55674,99.98,99.98,99.32
20230222,742536,55650,55151,55518,98.82,98.81,98.69
20230223,784906,55088,54595,54921,99.26,99.63,99.68
20230224,650600,55455,54987,55319,99.92,99.11,98.5
20230227,767965,55193,54693,55033,98.17,97.58,97.33
20230228,1287426,54158,53603,53925,99.74,99.62,99.02
20230302,1514103,54285,53806,54052,99.66,98.86,99.72
20230303,710412,54284,53831,54053,99.66,99.76,99.34
20230306,1062801,54248,53691,54028,99.17,99.64,98.77
20230307,699742,54779,54295,54602,99.78,99.64,99.07
20230308,780715,54791,54273,54605,98.72,98.56,99.07
20230309,1007010,54245,53693,54025,99.73,99.64,99.02
20230310,792588,54261,53747,54030,98.2,97.62,98.44
20230313,943870,53374,52754,53088,99.76,99.71,99.98
20230314,1039080,53476,52881,53194,98.91,98.31,97.7
20230315,1083047,52747,52106,52393,99.9,99.63,99.82
20230316,1113544,53035,52419,52712,98.79,98.22,98.63
20230317,2615426,52401,51729,52019,97.76,98.72,97.05
20230320,968054,53577,53199,53261,99.48,98.67,98.55
20230321,1142603,53305,52708,52999,99.42,99.03,98.66
20230322,1680675,53049,52444,52722,99.34,99.34,99.77
20230323,2262144,53047,52511,52702,99.34,99.02,100.0
20230324,2624397,52845,52370,52456,99.71,99.94,99.35
20230327,1362392,53106,52707,52730,99.42,98.64,99.37
20230328,1232098,52985,52405,52642,99.97,99.61,99.32
20230329,992377,53154,52561,52839,99.73,99.93,99.14
20230330,1220077,53507,52920,53229,98.9,99.47,99.68
20230331,1928018,54231,53738,53999,99.39,99.37,99.82
20230403,1260998,54350,53966,54115,99.72,99.32,99.41
20230404,928846,54612,54156,54407,98.87,98.77,98.68
20230405,990466,54217,53686,53990,99.22,99.09,99.65
20230406,885221,54027,53485,53787,99.2,99.08,98.71
20230407,2309225,53700,53124,53431,97.64,98.56,97.5
20230410,1823859,55180,54901,55017,98.89,99.08,98.6
20230411,1303269,55918,55627,55812,99.68,99.23,99.07
20230412,1443267,56181,55845,56079,98.96,98.46,99.14
20230413,1995470,56013,55683,55908,98.89,98.57,98.35
20230414,1077855,55753,55498,55614,99.9,98.73,99.25
20230417,1200074,55859,55463,55746,99.71,98.61,99.92
20230418,1085992,55883,55502,55774,99.67,99.27,99.87
20230419,1714591,56043,55662,55939,99.38,98.98,99.21
20230420,1430871,56151,55877,56048,98.83,98.03,97.72
20230421,1529221,55646,55296,55505,99.9,99.28,99.65
20230424,830959,56049,55728,55953,98.46,98.49,98.64
20230425,1000084,55465,55012,55321,99.15,97.56,96.98
20230426,1024524,54715,54237,54510,99.05,98.62,98.68
20230427,975396,54383,53875,54168,98.7,99.3,98.31
20230428,1214204,54897,54404,54734,98.56,98.92,98.27
20230502,772621,55971,55599,55868,99.51,99.28,99.7
20230503,417228,55852,55410,55738,99.55,99.44,99.21
20230504,872720,55444,54927,55303,99.56,99.4,98.71
20230508,908885,55207,54743,55044,98.94,99.35,98.82
20230509,925281,56070,55657,55981,99.88,99.17,99.31
20230510,1100061,56038,55631,55934,99.39,99.04,99.58
20230511,751552,56056,55677,55954,99.72,99.32,99.0
20230512,975406,55909,55470,55795,98.9,98.78,98.18
20230515,811354,55451,55018,55303,99.18,98.86,98.34
20230516,657327,55029,54543,54858,98.8,99.17,99.02
20230517,451632,55697,55223,55584,99.65,99.96,99.85
20230518,1238484,55572,55067,55443,98.71,98.69,98.48
20230519,2076314,56669,56343,56611,97.54,98.67,97.44
20230522,1202075,58346,58225,58392,99.74,99.44,99.32
20230523,711612,58466,58227,58490,99.54,99.09,98.81
20230524,813466,57982,57642,57979,99.69,99.58,98.99
20230525,1082334,57701,57366,57683,98.47,99.77,99.68
20230526,1752377,58313,58048,58333,97.68,99.23,98.37
20230530,1938639,59495,59367,59587,97.53,98.45,98.65
20230531,3822138,60654,60591,60770,99.58,96.6,96.3
20230601,1677262,59565,59394,59452,99.94,98.99,99.4
20230602,1150547,59552,59425,59628,99.09,99.87,99.38
20230605,1033131,59944,59744,60034,99.25,99.76,99.61
20230607,1057240,59900,59684,59975,100.0,99.52,99.71
20230608,1073336,59662,59441,59731,99.6,99.76,99.72
20230609,2092560,59694,59476,59766,97.54,99.46,97.66
20230612,1268000,60640,60591,60759,98.76,99.82,99.77
20230613,1108689,60755,60599,60853,98.79,99.67,99.6
20230614,1210162,60798,60617,60902,99.02,99.31,99.5
20230615,1064023,60584,60416,60677,99.16,99.53,99.96
20230616,1999935,60591,60401,60689,99.17,98.99,99.33
20230619,974061,60699,60645,60808,100.0,98.42,98.31
20230620,961028,59878,59654,59939,99.7,98.89,99.43
20230621,583216,59360,59112,59416,99.6,99.98,99.8
20230622,444802,59041,58722,59081,98.9,99.53,99.3
20230623,726643,59042,58697,59087,98.4,98.98,99.47
20230626,1208486,59427,59146,59485,98.23,99.75,98.32
20230627,886394,59892,59690,59985,99.16,99.48,99.48
20230628,941981,60016,59780,60093,98.71,99.47,99.33
20230629,753269,60279,60059,60370,99.31,99.77,99.79
20230630,1514957,60124,59870,60207,99.54,99.38,98.81
20230703,584935,59971,59838,60042,99.79,99.77,99.93
20230704,564879,59587,59286,59656,98.98,99.14,99.59
20230705,679797,59614,59314,59677,99.52,99.98,99.96
20230706,698765,59445,59157,59502,99.74,99.9,99.32
20230707,788916,59109,58814,59149,99.82,98.77,98.54
20230710,688138,58567,58265,58584,99.54,98.49,98.47
20230711,600221,57884,57536,57873,97.61,99.2,97.59
20230712,636619,58705,58363,58756,98.5,98.92,98.75
20230713,845921,59177,58870,59229,98.46,98.94,98.88
20230714,1075298,59735,59482,59810,99.06,99.47,99.19
20230717,809795,60029,59821,60115,99.55,99.96,99.86
20230718,863315,59849,59595,59922,99.09,99.99,99.96
20230719,1090528,59820,59575,59891,99.7,99.54,99.85
20230720,950350,59723,59510,59794,99.7,99.65,99.84
20230721,878982,59595,59356,59661,99.67,98.19,98.71
20230724,1693173,58949,58676,58983,99.23,98.48,98.83
20230725,1763674,58685,58538,58716,99.34,98.19,99.29
20230726,2275284,58508,58359,58538,99.12,96.53,98.02
20230727,1743689,57948,57860,57944,98.38,99.02,98.88
20230728,863715,58615,58454,58665,99.01,99.39,99.89
20230731,1387987,58707,58417,58740,99.99,98.23,97.67
20230801,945338,58334,58125,58341,99.77,98.74,99.59
20230802,1332444,58108,57805,58125,98.82,99.47,99.44
20230803,1397241,58434,58213,58456,98.55,97.51,97.8
20230804,827530,57703,57465,57687,98.77,98.11,97.72
20230807,600910,56887,56516,56823,99.63,99.08,99.78
20230808,761647,56705,56279,56644,99.48,98.96,98.31
20230809,690816,56505,56102,56419,98.96,99.64,99.33
20230810,997292,56761,56348,56713,99.89,99.38,99.27
20230811,1238016,56725,56370,56656,99.96,99.16,98.83
20230814,998809,56749,56434,56684,99.02,98.32,97.87
20230816,1884819,56186,55802,56086,98.58,97.99,98.03
20230817,1486178,55629,55346,55484,98.86,97.51,99.12
20230818,772291,55228,54850,55066,99.59,98.61,98.96
20230821,638880,54817,54307,54633,99.67,99.8,99.39
20230822,791505,54815,54286,54635,99.85,99.66,99.01
20230823,988454,54815,54309,54632,99.42,99.43,99.76
20230824,1081016,54863,54385,54686,98.67,98.7,98.71
20230825,736294,55895,55497,55791,98.74,98.36,98.93
20230828,546924,55341,54863,55194,99.74,99.7,99.28
20230829,595062,55196,54684,55039,99.46,99.66,99.38
20230830,780012,55011,54492,54845,99.48,99.26,99.9
20230831,2440052,55442,54976,55303,99.56,98.19,97.59
20230901,2803240,55162,54931,54970,96.95,98.84,96.61
20230904,1962982,56357,56208,56293,96.67,98.09,97.9
20230905,2502978,58418,58295,58452,98.58,97.73,98.52
20230906,619107,58047,57993,58059,99.05,98.08,98.68
20230907,984265,57380,56998,57347,99.62,99.47,99.56
20230908,880339,57625,57309,57614,99.61,98.75,99.1
20230911,705709,57282,56936,57243,99.51,99.23,99.22
20230912,893637,57012,56626,56960,99.15,99.69,99.58
20230913,1301027,57561,57230,57547,99.89,99.6,99.92
20230914,889778,57809,57556,57808,99.98,99.38,99.99
20230915,2000364,57803,57480,57800,99.49,99.62,99.48
20230918,818699,58475,58362,58508,99.01,96.89,96.63
20230919,552257,57272,56918,57221,99.52,99.26,99.44
20230920,656811,56941,56525,56892,99.93,99.24,98.59
20230921,796996,56578,56163,56497,99.51,99.17,98.75
20230922,1215022,56221,55805,56125,98.52,98.54,97.95
20230925,1200907,55606,55221,55463,99.45,99.05,98.61
20230926,895432,55460,55060,55314,99.16,98.41,97.94
20230927,1408168,55008,54532,54833,99.07,98.45,99.39
20231004,2331421,54751,54323,54557,98.8,98.08,97.64
20231005,1196362,54075,53742,53791,99.95,99.17,99.83
20231006,593828,54224,53723,53995,99.21,98.64,98.12
20231010,1138396,53688,53073,53428,98.87,99.2,99.12
20231011,1066991,54418,53920,54210,98.41,98.94,98.74
20231012,1122966,55477,55048,55347,99.07,99.73,99.37
20231013,624810,55955,55564,55855,99.0,98.42,99.0
20231016,651382,55363,54869,55216,99.52,98.77,98.5
20231017,1522804,54892,54373,54710,99.08,99.5,99.47
20231018,1267488,55426,55060,55283,99.77,98.97,99.49
20231019,758483,55454,55059,55310,99.17,98.6,99.07
20231020,1631473,55021,54522,54852,99.96,98.66,99.73
20231023,1774334,55234,54876,55074,99.88,98.94,99.13
20231024,1062186,55322,54997,55157,99.86,98.9,98.61
