,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,1134665,43010,41414,41469,82.55,84.6,84.2
20230103,1208164,51659,49669,48571,95.95,93.98,96.66
20230104,1253472,49365,47495,46004,95.19,94.69,99.0
20230105,1873646,47637,45885,44092,95.76,93.78,99.68
20230106,938440,46194,44486,42468,96.19,97.26,96.19
20230109,836262,45719,44161,42014,98.63,99.69,93.99
20230110,734590,46403,44814,42714,97.9,98.61,96.2
20230111,1462364,46405,44816,42771,99.9,99.85,92.78
20230112,1342347,47449,45712,43696,99.68,99.05,94.27
20230113,2396451,48326,46533,44722,97.14,99.43,89.98
20230116,2754817,50440,48368,46940,98.71,97.09,98.41
20230117,1383777,49813,47725,46376,97.5,98.78,98.15
20230118,1288027,49264,47398,45805,98.11,97.96,98.29
20230119,748872,48795,46968,45291,95.85,97.56,97.82
20230120,808958,47892,46211,44424,99.49,99.32,93.72
20230125,722335,48550,46830,45101,98.75,99.85,95.05
20230126,929372,49041,47302,45688,97.72,99.78,95.48
20230127,800840,49212,47434,45842,98.95,99.93,95.21
20230130,1294262,49613,47829,46311,99.37,99.2,97.09
20230131,876339,49685,47804,46291,97.98,99.47,96.24
20230201,818056,49648,47851,46320,97.84,99.37,95.51
20230202,878603,49763,47971,46498,98.34,99.01,96.37
20230203,899193,49811,47997,46545,98.55,99.17,96.07
20230206,669658,49869,48051,46590,98.12,98.95,96.36
20230207,1091737,49775,48002,46546,97.37,97.87,98.82
20230208,1878153,49104,47285,45718,98.9,99.34,94.07
20230209,824060,50274,48279,46809,97.71,99.63,96.51
20230210,1270290,50058,48243,46818,99.58,98.86,94.87
20230213,813513,50464,48548,47203,99.47,99.38,96.33
20230214,1016882,50788,48930,47634,99.03,99.94,94.89
20230215,3204066,51349,49438,48247,96.99,93.8,96.47
20230216,1061223,49268,47173,45769,96.28,99.1,97.17
20230217,1208255,48750,46979,45265,95.5,96.86,98.51
20230220,633462,47638,45902,44117,97.22,98.67,95.29
20230221,767589,47610,45970,44130,98.16,99.83,95.11
20230222,763866,47993,46309,44507,97.01,98.22,97.28
20230223,579503,47523,45857,44020,97.69,99.33,95.18
20230224,1629007,47699,46064,44209,99.48,99.64,95.07
20230227,1473147,48341,46505,44709,96.82,95.85,99.69
20230228,840170,47250,45496,43624,97.17,98.79,96.73
20230302,670049,46997,45363,43355,97.94,98.97,96.24
20230303,717927,46974,45360,43381,97.32,98.98,96.19
20230306,650649,46913,45300,43313,97.46,99.22,95.19
