,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,887667,37806,37413,37629,70.27,71.4,71.4
20230103,1420569,51748,50129,50625,96.73,97.53,94.98
20230104,2241411,50890,49113,49622,90.88,92.49,89.09
20230105,3046064,51796,49741,50253,89.0,89.3,87.09
20230106,1420345,53132,50916,51312,91.61,90.12,89.71
20230109,3482961,53811,51827,52299,87.93,88.9,85.6
20230110,2178323,54909,52503,52861,88.99,86.93,87.09
20230111,2544430,55677,53411,53791,89.08,87.85,86.9
20230112,2197974,56455,54106,54478,89.05,88.55,88.58
20230113,2248562,57271,55006,55347,90.91,89.44,89.27
20230116,2989321,56666,54334,54718,87.18,87.64,84.83
20230117,3194397,56315,53776,54122,87.31,87.58,87.58
20230118,1650067,57416,55068,55207,91.87,90.13,89.62
20230119,1687361,56198,53942,54384,91.53,89.6,89.45
20230120,1376217,55820,53618,54039,90.18,88.62,88.3
20230125,2018473,55788,53569,54074,87.44,86.26,86.38
20230126,1658008,57202,54858,55295,89.8,88.91,86.81
20230127,2588030,56797,54442,54921,86.71,85.87,84.89
20230130,1888795,57271,54767,55106,87.57,86.66,86.78
20230131,2394547,57877,55529,55874,91.14,90.73,91.0
20230201,1582425,56497,54203,54477,89.82,88.28,87.58
20230202,2936610,56737,54462,54943,87.02,85.5,85.18
20230203,5019685,58001,55494,55816,85.93,86.04,83.06
20230206,2276799,56757,53978,54036,84.59,82.79,82.88
20230207,3026310,58318,55837,56099,84.76,86.04,82.5
20230208,3109216,57407,54712,55015,82.13,80.22,79.62
20230209,3602387,59013,56266,56484,82.77,83.85,79.67
20230210,5370780,57654,54798,54965,82.13,82.65,81.31
20230213,4298565,58405,55592,55444,87.43,86.59,86.23
20230214,2249182,57949,55367,55359,87.27,85.44,85.17
20230215,2984239,58383,55905,56262,90.24,89.31,88.46
20230216,2542941,57223,54771,54986,87.77,86.25,85.65
20230217,1584836,57682,55220,55547,89.57,88.49,87.75
20230220,1424392,56602,54264,54680,87.76,86.41,85.17
20230221,1644407,57176,54813,55310,88.37,87.0,87.65
20230222,1904538,57838,55540,55922,91.81,90.31,89.91
20230223,1217488,56004,53685,54076,88.61,86.31,86.52
20230224,1339514,57051,54804,55309,90.7,88.97,89.5
20230227,1407458,56825,54614,55065,91.36,89.53,88.96
20230228,1870108,56091,53844,54331,88.47,86.99,87.07
20230302,1842975,56576,54246,54682,90.67,89.22,89.35
20230303,1250945,56463,54239,54613,90.78,89.06,89.53
20230306,2768767,56577,54414,54897,88.68,89.06,86.32
20230307,2322926,55846,53363,53757,88.5,86.91,87.41
20230308,2935338,56661,54377,54660,92.58,92.16,92.49
20230309,1949722,55710,53515,53728,91.93,90.86,91.06
20230310,2009728,55563,53429,53838,95.14,92.92,92.66
20230313,5720123,53883,51775,52183,86.35,88.05,85.83
20230314,2192551,55418,52919,52966,90.7,89.39,89.17
20230315,1885060,55627,53464,53797,91.49,90.93,90.72
20230316,1976894,56110,53996,54401,93.05,92.94,90.82
20230317,1658486,54328,52102,52561,88.77,87.13,87.31
20230320,2051491,56068,53900,54358,90.43,89.53,89.11
20230321,1093952,55641,53356,53793,90.18,88.19,88.33
20230322,2243729,56433,54300,54807,89.72,88.58,87.41
20230323,1685484,56454,54078,54512,91.05,88.94,88.49
20230324,1323550,55995,53752,54161,90.46,88.26,88.21
20230327,1490567,56337,54142,54623,91.16,90.54,89.99
20230328,1326335,56236,54082,54516,92.19,90.29,89.81
20230329,1144119,55776,53614,54108,90.84,89.21,89.58
20230330,1707493,56056,53936,54433,92.05,90.04,90.57
20230331,1745559,56004,53844,54275,91.51,89.74,88.83
20230403,1683150,55910,53673,54154,90.76,89.6,89.96
20230404,1380518,56272,54124,54527,92.55,90.51,89.83
20230405,1227329,55624,53444,53955,90.89,88.78,89.18
20230406,2659408,55800,53652,54150,92.85,91.71,92.41
20230407,1650319,55143,52987,53260,93.15,91.2,90.89
20230410,2103339,54751,52660,53124,93.75,92.22,91.44
20230411,2184527,54245,52150,52550,90.41,90.7,88.62
20230412,1486194,54446,52242,52689,91.81,89.3,89.76
20230413,1591961,55010,52947,53403,92.3,90.66,89.75
20230414,2464952,54684,52528,53036,89.65,88.43,87.66
20230417,1450046,55562,53285,53677,91.54,89.4,89.31
20230418,1731564,55515,53369,53835,91.31,90.61,91.25
20230419,1086274,55628,53535,53929,94.13,91.51,92.03
20230420,1342600,55021,53008,53516,93.73,91.71,92.43
20230421,1212125,54659,52659,53126,93.92,92.06,91.75
20230424,961915,54224,52222,52738,93.81,91.46,92.2
20230425,1791028,53923,51992,52506,93.13,93.34,93.76
20230426,1452179,53702,51769,52164,93.88,93.11,92.33
20230427,1311670,53100,51118,51633,94.32,92.44,92.53
20230428,3124682,53175,51300,51774,89.97,91.12,89.11
20230502,1124552,53669,51427,51810,91.59,89.13,88.56
20230503,1047114,54618,52593,53133,92.73,90.99,91.14
20230504,2288474,54394,52381,52907,94.6,93.54,92.49
20230508,1821528,53317,51249,51621,91.61,89.75,89.46
20230509,1412568,54235,52169,52636,92.39,91.05,91.54
20230510,1364811,54436,52437,52915,95.0,93.14,93.65
20230511,1190339,53709,51788,52244,94.06,92.48,93.29
20230512,1236080,53551,51666,52157,93.62,92.92,92.15
20230515,879909,53556,51618,52150,93.96,92.01,91.81
20230516,922948,53625,51723,52280,93.42,92.36,93.19
20230517,2035175,53723,51877,52381,91.37,93.3,90.78
20230518,1112295,53354,51229,51718,91.36,90.19,90.42
20230519,1375866,54664,52752,53239,93.92,92.22,91.95
20230522,985462,54252,52218,52744,93.38,90.66,91.09
20230523,1015317,54441,52469,53008,93.54,91.09,91.39
20230524,1258754,54591,52615,53153,94.78,92.8,93.58
20230525,1177829,53912,51989,52449,94.58,92.34,92.5
20230526,709988,53604,51672,52188,94.04,91.62,92.2
20230530,1155964,53578,51705,52267,93.83,91.68,92.02
20230531,1992398,53994,52072,52596,94.89,92.82,93.59
20230601,1004709,53374,51382,51797,94.3,91.75,92.33
20230602,1677624,53548,51678,52207,93.13,92.28,91.27
20230605,1035494,53599,51562,52073,92.57,90.46,91.2
20230607,1012086,54399,52479,52999,93.79,91.59,92.33
20230608,1734613,54563,52622,53163,95.72,93.47,94.09
20230609,1732451,53581,51613,52041,93.67,91.67,92.27
20230612,867990,53806,51835,52287,94.07,91.91,92.38
20230613,1101921,54057,52183,52733,94.67,92.85,93.5
20230614,2051297,53975,52093,52601,95.36,94.2,94.44
20230615,2719928,53292,51343,51740,94.99,95.61,95.99
20230616,1745708,52663,50780,51065,96.45,95.09,95.27
20230619,2131119,52180,50384,50822,97.72,96.89,96.8
20230620,1767021,51167,49407,49786,96.72,95.94,96.3
20230621,2027881,50714,49027,49443,97.53,97.47,97.91
20230622,1336297,50047,48424,48797,97.94,96.65,97.01
20230623,1755166,49363,47774,48244,97.75,96.42,97.07
20230626,1872956,49112,47537,47957,97.64,97.81,95.91
20230627,1333727,48418,46759,47217,96.64,94.75,95.68
20230628,1659730,48958,47464,47902,98.41,97.86,97.76
20230629,1287518,48699,47195,47614,97.79,96.91,97.17
20230630,1268925,48476,46977,47438,97.54,97.06,96.62
20230703,1691513,48331,46824,47291,94.77,94.98,92.73
20230704,1445459,49204,47480,48005,96.48,95.15,96.11
20230705,2700066,49510,47980,48400,98.23,98.32,99.08
20230706,3139685,48757,47146,47483,94.67,96.81,93.29
20230707,1974639,48789,46918,47347,95.29,94.31,94.98
20230710,1068139,49324,47721,48110,98.06,96.5,96.51
