,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,134894,62012,61061,61461,86.49,87.23,87.3
20230103,232108,71290,70419,70750,99.59,97.05,98.05
20230104,216428,70316,69418,69789,99.04,99.25,98.43
20230105,231360,70998,70049,70466,99.3,99.35,99.25
20230106,223708,71040,70097,70497,97.58,99.85,97.37
20230109,295462,72275,71244,71668,99.28,98.8,99.91
20230110,341987,72316,71255,71679,99.7,98.93,99.19
20230111,190445,71850,70789,71240,99.37,99.45,99.66
20230112,222372,71516,70592,70969,98.92,99.99,99.62
20230113,263388,71616,70657,71040,99.47,99.66,98.94
20230116,180052,72278,71239,71682,99.97,99.95,99.75
20230117,208383,72180,71229,71598,99.33,98.39,99.16
20230118,180310,71449,70512,70890,99.23,99.98,98.87
20230119,165764,71997,71039,71426,99.31,99.95,99.2
20230120,138244,72258,71301,71675,99.8,99.29,99.19
20230125,134437,71811,70913,71244,99.85,99.41,99.92
20230126,277116,71547,70660,71010,98.96,99.8,99.59
20230127,275026,71946,70924,71348,98.56,99.82,98.28
20230130,289044,72696,71608,72061,99.73,98.86,98.36
20230131,285949,71858,70849,71248,99.94,99.22,99.51
20230201,300422,71732,70714,71142,99.21,99.74,99.64
20230202,854134,72075,71024,71470,99.2,95.86,95.21
20230203,614694,70287,69009,69607,96.64,96.54,96.42
20230206,298184,68091,67087,67619,99.12,99.42,98.93
20230207,216850,67525,66745,67142,99.07,99.48,99.19
20230208,249998,67088,66385,66737,99.24,99.68,98.72
20230209,233288,67805,67024,67427,99.7,99.66,99.21
20230210,192837,67518,66784,67143,99.73,99.98,99.18
20230213,180173,67921,67177,67547,99.67,99.13,99.33
20230214,141674,67603,66894,67229,99.86,99.71,99.81
20230215,213249,67738,67045,67370,99.5,97.95,99.15
20230216,201443,67225,66502,66854,99.45,100.0,99.49
20230217,126782,67635,66901,67264,99.9,99.09,99.61
20230220,128520,67388,66717,67029,99.98,99.52,99.89
20230221,142697,67427,66755,67073,99.66,99.62,99.81
20230222,250073,67415,66737,67064,99.73,99.79,99.65
20230223,238833,67700,66935,67319,99.41,99.75,99.58
20230224,184840,68115,67335,67720,99.88,99.65,99.88
20230227,210631,68084,67341,67697,99.25,99.19,99.41
20230228,252762,67974,67219,67572,99.67,99.97,99.22
20230302,293059,68331,67523,67929,99.81,98.92,99.22
20230303,205956,67934,67133,67526,99.65,99.2,99.06
20230306,196069,67503,66782,67129,99.85,99.42,99.75
20230307,159545,67636,66906,67267,99.76,99.84,99.95
20230308,201867,67717,67013,67348,99.23,98.31,98.57
20230309,280459,66962,66270,66602,99.35,99.59,100.0
20230310,251869,67271,66503,66896,99.96,99.54,99.56
20230313,175799,67253,66510,66885,99.77,98.77,99.98
20230314,317801,67246,66544,66888,98.42,96.99,98.65
20230315,186641,66331,65596,65973,99.9,99.85,99.96
20230316,268335,66584,65915,66248,98.03,96.2,96.16
20230317,281694,65054,64413,64715,99.45,98.56,99.04
20230320,135668,65081,64418,64765,99.1,98.07,98.17
20230321,159032,64788,64214,64476,99.86,98.4,99.41
20230322,229898,64852,64254,64547,98.56,99.93,99.15
20230323,253327,65898,65217,65574,99.08,97.3,97.54
20230324,317440,65086,64442,64757,97.66,96.4,96.55
20230327,246266,64094,63465,63767,97.94,96.97,97.81
20230328,135143,63751,63156,63434,98.81,98.63,98.99
20230329,219195,63956,63405,63655,99.6,98.71,99.6
20230330,258666,64408,63800,64103,98.25,97.43,97.6
20230331,251443,63975,63374,63658,98.93,98.11,98.63
20230403,170636,63998,63391,63689,98.42,97.92,97.93
20230404,192293,63765,63206,63455,98.46,98.22,98.96
20230405,114284,63847,63273,63543,99.29,98.6,98.33
20230406,166631,63977,63436,63670,97.96,97.02,96.64
20230407,111269,63481,62930,63161,97.61,97.17,97.47
20230410,161008,63213,62686,62896,98.37,97.74,97.73
20230411,176433,63219,62673,62903,99.33,98.26,99.19
20230412,242065,63659,63089,63355,99.62,98.57,99.15
20230413,231270,64451,63813,64147,99.45,99.19,99.93
20230414,247507,64754,64133,64449,99.32,99.95,99.61
20230417,128339,65483,64819,65167,99.1,99.04,99.28
20230418,158106,65304,64719,65000,99.53,98.88,99.38
20230419,147741,65242,64641,64934,99.94,99.47,99.59
20230420,147172,65583,64970,65277,99.67,99.74,99.21
20230421,184853,66090,65458,65774,99.98,99.45,99.66
20230424,135201,66371,65708,66042,99.59,98.76,99.33
20230425,137327,66202,65579,65875,100.0,99.11,99.73
20230426,162632,66262,65631,65937,99.14,98.4,99.49
20230427,175989,66012,65378,65689,98.44,97.2,98.63
20230428,231732,65297,64684,64976,97.46,99.25,98.0
20230502,204065,66448,65718,66099,98.73,99.42,98.36
20230503,119818,67417,66684,67056,99.97,99.72,99.79
20230504,225298,67430,66765,67078,99.96,98.99,99.58
20230508,201673,67234,66509,66866,99.61,99.08,99.21
20230509,91745,67518,66780,67147,99.97,99.73,99.33
20230510,119264,67416,66778,67062,99.98,99.88,99.5
20230511,211834,67644,66966,67292,99.48,99.9,99.4
20230512,180516,68051,67290,67662,99.63,98.66,98.71
20230515,144643,67418,66718,67044,99.97,99.52,99.77
20230516,164576,67629,66934,67268,99.9,99.35,99.6
20230517,115474,67613,66910,67242,99.24,99.23,99.49
20230518,113411,67174,66526,66832,99.81,99.81,99.65
20230519,198449,67198,66551,66851,98.97,99.01,98.89
20230522,166538,67728,66973,67346,99.89,99.96,99.63
20230523,209880,67785,67081,67411,99.68,99.28,99.24
20230524,177455,67788,67046,67401,99.57,98.87,99.85
20230525,269339,67588,66867,67223,99.54,99.45,99.59
20230526,124945,67772,66986,67380,99.6,99.42,98.98
20230530,197176,67334,66678,66977,99.35,98.51,98.98
20230531,802887,66902,66212,66549,99.56,99.37,99.62
20230601,149540,67389,66315,66920,99.42,99.06,98.45
20230602,135922,66840,66183,66492,99.61,99.42,99.39
20230605,103684,67148,66471,66805,99.48,99.81,98.97
20230607,212900,67676,67006,67322,98.51,99.12,98.57
20230608,221268,68730,67929,68316,99.9,99.51,99.88
20230609,188567,68849,68042,68423,99.64,99.64,99.38
20230612,139168,68611,67850,68201,99.84,99.03,99.26
20230613,240400,68352,67631,67954,99.48,97.53,97.97
20230614,192092,67541,66792,67144,98.74,97.56,98.42
20230615,163668,66608,65932,66261,99.71,99.65,99.94
20230616,253261,66822,66152,66481,99.97,99.31,99.97
20230619,148580,67014,66279,66656,99.23,98.81,98.39
20230620,149997,66405,65773,66070,99.23,98.03,97.72
20230621,205694,65724,65115,65398,99.81,98.89,100.0
20230622,147419,65936,65272,65616,99.6,99.74,99.72
20230623,175157,66348,65706,66023,98.55,96.85,96.68
20230626,124825,65169,64568,64839,99.65,98.32,99.6
20230627,131405,65490,64877,65180,99.86,99.57,99.82
20230628,240926,65780,65174,65470,98.18,99.89,98.45
20230629,200171,66839,66100,66485,99.17,99.85,99.38
20230630,162770,67220,66502,66860,99.14,99.7,99.35
20230703,155866,67909,67189,67533,99.87,99.87,99.31
20230704,132816,68133,67405,67756,99.8,99.09,99.47
20230705,137678,67802,67114,67427,99.4,99.23,98.91
20230706,241209,67242,66582,66889,99.32,99.57,99.72
20230707,167068,67431,66683,67054,99.36,99.12,99.02
20230710,565029,66929,66260,66584,94.93,98.6,94.45
20230711,382260,70612,69373,70021,98.07,98.68,98.21
20230712,321574,71897,70784,71280,99.03,99.74,99.61
20230713,423306,72044,70980,71420,99.52,96.68,96.79
20230714,310803,70518,69477,69927,98.9,99.74,98.49
20230717,135921,71265,70227,70701,99.63,98.81,98.71
20230718,101926,70376,69560,69879,99.97,98.75,98.87
20230719,92924,69975,69200,69504,99.61,99.42,99.42
20230720,114679,69600,68853,69165,99.42,98.89,99.62
20230721,100397,69079,68340,68661,98.97,99.77,99.36
20230724,155168,69580,68822,69141,99.6,98.49,98.92
20230725,118406,69015,68252,68582,99.16,99.33,99.83
20230726,266467,69245,68483,68810,99.21,97.79,99.11
20230727,164917,68548,67725,68116,98.63,99.74,98.01
20230728,140977,69447,68630,69006,99.92,99.22,99.86
20230731,148172,69223,68456,68789,99.03,99.21,98.55
20230801,130647,70170,69344,69704,99.9,99.5,99.72
20230802,171099,70050,69247,69588,99.5,99.78,99.7
20230803,128318,70286,69445,69803,99.88,98.92,98.98
20230804,174251,69879,69092,69412,99.68,99.28,99.44
20230807,237111,69924,69084,69457,97.12,98.83,97.96
20230808,117708,71469,70486,70902,99.68,99.74,99.58
20230809,92353,71749,70860,71202,99.51,99.35,99.57
20230810,160123,71410,70571,70888,99.56,98.9,98.88
20230811,126936,70819,69961,70303,99.46,99.91,100.0
20230814,92151,70879,70033,70372,98.74,98.06,98.45
20230816,164102,69753,69003,69301,99.49,97.32,97.33
20230817,185354,68418,67681,67991,98.64,97.61,98.06
20230818,141652,67345,66644,66974,99.49,98.56,98.52
20230821,118276,66677,66033,66334,99.97,99.03,99.49
20230822,120290,66659,66025,66324,99.61,99.35,99.2
20230823,170235,66501,65879,66174,98.81,99.42,98.33
20230824,152053,67230,66514,66878,99.9,99.37,99.28
20230825,127836,67046,66382,66690,99.62,99.27,99.39
20230828,87933,67244,66569,66895,98.45,99.06,98.81
20230829,103142,68370,67678,67988,99.9,98.99,99.13
20230830,96090,68075,67392,67693,99.89,99.71,99.86
20230831,252045,68103,67425,67733,99.57,99.52,99.8
20230901,119999,68168,67376,67763,99.9,99.59,99.76
20230904,104114,67943,67254,67571,99.79,98.87,99.66
20230905,111206,67797,67119,67432,99.26,99.44,99.31
20230906,86685,68364,67665,67981,99.61,99.16,99.29
20230907,106048,67885,67225,67517,99.43,99.21,99.97
20230908,75481,67563,66902,67210,98.78,99.26,98.26
20230911,152618,68566,67872,68185,97.95,99.52,97.55
20230912,105479,69892,69057,69432,99.42,99.65,99.76
20230913,282654,70208,69423,69740,98.06,99.53,97.4
20230914,218541,71340,70310,70774,98.67,99.31,98.85
20230915,360306,72161,71172,71568,98.85,99.54,98.85
20230918,112989,73021,71863,72354,98.72,98.78,98.38
20230919,88642,71801,70932,71247,99.45,99.9,99.51
20230920,86514,72029,71150,71478,99.96,99.65,99.28
20230921,160662,72096,71215,71547,99.58,99.46,99.79
20230922,122951,72299,71360,71720,99.72,99.94,99.47
20230925,126100,72451,71522,71874,99.51,98.98,99.34
20230926,106053,71975,71078,71410,98.91,98.46,99.0
