,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,47294,115965,114282,115130,93.14,95.24,95.54
20230103,77372,122381,120396,121190,99.69,97.54,99.01
20230104,55973,120517,118660,119488,99.6,99.86,99.57
20230105,67589,120327,118503,119325,98.23,98.75,99.02
20230106,92889,121365,119494,120324,96.71,99.58,97.04
20230109,75250,123458,121515,122452,97.21,97.6,96.8
20230110,72363,126570,124443,125354,99.27,99.95,99.31
20230111,73882,125849,123654,124495,99.88,99.88,99.6
20230112,132066,124999,122893,123742,99.6,98.85,98.15
20230113,105245,123435,121353,122161,97.96,99.06,98.12
20230116,47434,124797,122775,123681,99.44,99.41,99.74
20230117,54264,124841,122756,123603,99.32,99.79,99.92
20230118,65455,123870,121838,122686,99.1,99.46,99.34
20230119,56743,124024,121987,122851,99.98,99.99,99.47
20230120,63331,123531,121524,122393,99.62,99.61,99.91
20230125,119988,123166,121158,122000,96.68,98.82,95.91
20230126,90437,126357,124274,125245,98.95,98.4,98.46
20230127,130097,127661,125398,126272,98.73,99.29,98.27
20230130,91839,128649,126337,127252,99.57,99.95,99.56
20230131,145991,127989,125656,126498,99.85,99.31,98.8
20230201,90773,126399,124150,124992,99.68,99.96,99.67
20230202,111924,125683,123550,124429,98.89,99.24,99.86
20230203,96926,125948,123764,124607,99.8,99.87,99.61
20230206,102363,125345,123231,124110,99.17,99.06,99.37
20230207,91719,125722,123569,124430,99.9,99.33,99.7
20230208,282875,125388,123263,124124,94.63,98.37,93.96
20230209,162397,130983,128629,129671,98.48,98.79,98.68
20230210,164813,132082,129474,130353,99.25,97.73,97.52
20230213,224550,128765,126287,127117,97.97,95.72,97.49
20230214,143463,124537,122324,123181,96.92,98.25,95.94
20230215,118550,127821,125638,126604,99.47,99.71,99.84
20230216,192659,127484,125169,126016,96.73,99.03,96.2
20230217,81676,130483,128118,129109,99.61,99.94,99.53
20230220,84873,129358,126918,127793,98.9,99.31,98.3
20230221,71217,130127,127742,128662,99.9,99.64,99.51
20230222,88903,129737,127324,128199,98.88,98.55,98.74
20230223,73820,127239,124928,125786,99.48,98.91,98.66
20230224,77467,127731,125492,126388,99.63,99.36,99.68
20230227,69017,127446,125182,126058,98.85,99.05,99.07
20230228,163894,125297,123136,123998,98.5,98.59,98.96
20230302,88291,126311,124115,124985,99.59,99.75,99.69
20230303,94567,125196,123066,123926,99.84,99.78,99.74
20230306,103302,124449,122354,123201,99.24,98.83,98.25
20230307,75703,125469,123381,124271,99.87,99.93,99.29
20230308,122909,124508,122396,123222,98.77,98.93,98.75
20230309,151187,122487,120480,121303,99.99,99.9,99.67
20230310,74617,121946,119983,120800,98.8,99.17,99.17
20230313,107410,120313,118463,119267,99.84,99.88,99.31
20230314,119934,120295,118460,119284,99.25,98.4,98.05
20230315,80453,118451,116651,117407,99.46,99.53,99.75
20230316,78697,118684,116966,117745,99.59,99.25,99.62
20230317,123197,117838,116136,116911,98.36,99.01,98.08
20230320,49480,119418,117660,118482,98.94,98.96,99.65
20230321,52110,119916,118118,118913,99.76,99.34,99.34
20230322,55483,120139,118352,119162,99.87,99.37,99.3
20230323,81315,120431,118616,119424,99.64,99.99,99.94
20230324,76803,120027,118205,119005,99.44,99.67,99.25
20230327,78536,120264,118446,119266,99.78,99.62,99.69
20230328,73507,119694,117883,118671,99.91,99.65,99.39
20230329,95161,119746,117963,118771,98.23,98.63,97.92
20230330,216002,121388,119533,120388,99.74,98.18,97.89
20230331,2311735,119969,118041,118810,99.69,97.98,97.58
20230403,275375,118998,116354,117186,99.83,99.87,99.84
20230404,159557,118222,116455,117239,99.73,99.96,99.69
20230405,148432,118104,116380,117161,99.83,99.47,99.54
20230406,178468,118281,116539,117322,99.51,99.27,98.6
20230407,117978,117338,115606,116342,99.37,99.73,99.79
20230410,131719,116813,115175,115926,99.99,99.72,99.94
20230411,188434,116813,115157,115907,99.25,99.44,99.07
20230412,162557,117524,115823,116605,99.77,99.68,99.24
20230413,239555,117902,116182,116965,99.83,99.73,99.21
20230414,186704,118096,116326,117126,98.41,99.0,97.93
20230417,116114,119579,117777,118614,99.77,99.51,99.39
20230418,99849,118918,117121,117894,99.14,99.9,99.58
20230419,102453,118060,116341,117109,99.04,98.85,99.24
20230420,92435,118857,117116,117902,99.87,99.99,100.0
20230421,108845,118568,116832,117612,99.94,99.77,99.33
20230424,81158,118534,116799,117597,99.69,99.57,99.91
20230425,144661,118653,116907,117678,99.29,99.5,99.47
20230426,164574,119067,117295,118092,99.1,98.88,98.55
20230427,152312,117706,115957,116706,99.22,98.64,99.65
20230428,161051,116699,115035,115800,99.49,99.68,98.72
20230502,136810,117324,115640,116429,98.34,99.26,97.59
20230503,79847,118825,117084,117922,99.81,99.56,99.85
20230504,101211,118738,116975,117749,99.95,99.55,99.37
20230508,99744,118801,117054,117851,99.67,98.95,99.12
20230509,90986,119334,117562,118360,99.89,99.46,99.8
20230510,100832,119205,117429,118218,99.41,99.46,99.22
20230511,113819,118311,116564,117326,99.42,99.71,99.72
20230512,131232,118355,116623,117387,99.19,99.38,99.41
20230515,73180,117432,115739,116500,99.94,99.69,99.4
20230516,67370,117500,115837,116612,99.75,99.43,99.84
20230517,148975,117621,115941,116701,98.68,99.69,98.23
20230518,113221,118569,116838,117667,98.56,98.6,98.14
20230519,145274,120088,118280,119106,98.51,99.39,97.71
20230522,176109,121320,119441,120323,98.0,98.63,97.19
20230523,98673,123466,121459,122355,99.65,99.31,99.64
20230524,74452,123564,121522,122356,99.87,99.65,99.4
20230525,123512,122971,120995,121865,99.94,99.5,99.97
20230526,93244,122570,120570,121401,99.81,99.23,99.43
20230530,189013,122533,120579,121424,96.71,98.43,97.22
20230531,776577,125167,123082,124001,99.81,99.82,99.76
20230601,117362,125455,123052,123919,99.96,99.48,99.29
20230602,113672,125192,123082,123954,99.68,99.5,98.77
20230605,74379,125577,123448,124330,99.19,98.44,98.6
20230607,143851,126628,124453,125323,99.08,99.32,99.46
20230608,312600,126962,124719,125586,99.73,99.94,99.51
20230609,149927,126715,124428,125321,99.54,98.99,98.99
20230612,81460,127180,124935,125810,99.59,99.87,99.93
20230613,81030,126766,124542,125404,99.97,99.47,99.53
20230614,132285,126357,124180,125064,99.49,99.45,99.95
20230615,89915,125682,123494,124364,99.62,99.68,99.97
20230616,109754,124738,122635,123499,99.47,99.54,99.36
20230619,57508,124892,122787,123647,99.69,99.75,99.8
20230620,71576,124336,122278,123130,99.95,99.25,99.14
20230621,96239,124456,122403,123265,99.64,99.84,98.93
20230622,69859,124609,122534,123413,99.93,99.7,99.91
20230623,95957,124167,122095,122928,99.54,99.51,98.82
20230626,93738,122783,120771,121581,98.7,99.73,98.21
20230627,59128,123537,121568,122469,99.55,98.76,98.92
20230628,67273,124178,122140,122992,99.78,99.31,99.19
20230629,95460,123006,120990,121810,99.28,99.74,99.91
20230630,98919,122635,120662,121503,99.78,99.62,98.86
