,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,181892,125287,119113,123275,93.15,91.27,93.04
20230103,545196,136106,129047,132906,96.87,98.51,95.27
20230104,764740,141503,133730,137619,97.93,96.91,95.9
20230105,695153,146644,138276,142189,99.76,96.02,98.06
20230106,316282,150288,141582,145448,96.71,99.94,98.64
20230109,505120,148312,139942,143716,99.87,97.18,98.44
20230110,348819,151423,142665,146468,97.69,98.39,99.98
20230111,419017,151624,142922,146665,97.2,99.7,98.85
20230112,404898,150245,141634,145423,97.09,99.04,99.36
20230113,328235,149617,141091,144868,97.17,98.67,99.4
20230116,606486,149110,140670,144428,99.93,97.69,96.93
20230117,486157,152780,143855,147669,98.82,97.86,99.44
20230118,395171,154153,145128,148907,98.58,98.73,97.97
20230119,413935,156010,146852,150570,97.7,98.23,99.06
20230120,481635,156422,147209,150941,96.75,99.86,98.01
20230125,317610,154077,145051,148838,98.3,98.01,98.7
20230126,721390,155715,146630,150317,96.53,99.15,97.74
20230127,490367,152829,143840,147715,98.79,97.52,98.54
20230130,489086,154878,145789,149554,96.26,99.18,96.65
20230131,436293,151283,142528,146344,96.1,99.98,97.45
20230201,322685,148358,139933,143744,97.26,98.82,99.55
20230202,588283,148477,140114,143865,98.72,95.9,96.36
20230203,321144,154074,145024,148828,97.01,97.99,99.95
20230206,508341,153827,144925,148635,96.41,99.54,98.2
20230207,301825,151571,142795,146603,96.75,98.82,99.45
20230208,349583,150601,142026,145760,99.53,96.55,98.09
20230209,282966,153826,144911,148629,96.27,98.85,99.3
20230210,211242,152450,143702,147411,96.78,98.09,99.65
20230213,401782,151850,143200,146888,96.14,99.65,98.42
20230214,236461,149722,141182,144963,98.08,97.91,99.96
20230215,303037,150335,141816,145533,96.61,99.45,98.23
20230216,719362,148539,140159,143922,97.92,97.13,95.06
20230217,283256,155020,145816,149661,97.41,97.86,99.77
20230220,427870,154954,145950,149644,99.32,98.22,98.0
20230221,312790,157269,147959,151692,97.08,99.37,98.74
20230222,288782,155806,146688,150396,94.73,99.18,97.48
20230223,326240,151598,142920,146648,99.54,96.96,97.44
20230224,283292,154983,145966,149663,97.23,99.36,98.53
20230227,199159,153511,144632,148352,96.28,99.2,99.01
20230228,469574,151943,143288,146971,97.27,99.51,97.94
20230302,244534,150349,141704,145514,97.72,98.34,99.3
20230303,233075,150041,141542,145271,98.07,97.95,98.89
20230306,646136,151300,142700,146395,98.89,97.81,95.75
20230307,322609,156365,147052,150868,97.6,98.3,99.65
20230308,302634,156502,147323,151020,97.38,98.81,99.36
