,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,108253,440398,424946,425867,71.03,71.3,70.51
20230103,112173,621605,593114,598025,98.1,99.02,99.5
20230104,129672,620340,591812,596574,97.97,99.01,99.26
20230105,190445,614193,585791,590376,99.15,99.0,98.39
20230106,135877,607376,578512,582445,98.43,99.39,98.05
20230109,187189,605090,577417,581659,96.51,98.03,93.21
20230110,217651,630634,600698,606547,97.47,95.65,96.43
20230111,130042,652328,620188,626891,98.39,99.71,98.88
20230112,152114,650513,619786,626315,98.99,98.54,98.32
20230113,153532,656201,624744,631580,98.89,99.01,98.07
20230116,111249,658839,627198,634285,99.41,98.46,99.42
20230117,192280,660830,629576,636502,96.91,97.63,97.17
20230118,146564,643466,611896,617865,97.86,99.52,99.21
20230119,143197,635487,605408,610950,97.67,99.57,98.38
20230120,134554,633524,603794,609456,99.12,98.66,97.51
20230125,221307,639926,609821,615773,97.7,95.58,94.44
20230126,257413,668608,635555,643531,97.32,98.54,93.95
20230127,186406,689311,653897,663630,99.04,97.02,96.88
20230130,250561,705027,669407,679422,99.71,98.88,99.48
20230131,310432,704975,668014,678269,99.29,99.41,98.3
20230201,282102,703890,665862,676546,98.57,98.35,98.34
20230202,275597,702988,665490,675860,99.0,99.03,99.98
20230203,211018,700620,663282,673273,96.36,99.65,99.89
20230206,169927,688710,653720,662796,97.51,99.35,99.27
20230207,241408,679728,645954,654111,99.23,98.92,96.05
20230208,134248,688943,653753,663244,99.57,97.28,98.7
20230209,206970,694625,660637,669668,99.48,99.45,98.48
20230210,129178,692107,657055,666466,98.22,98.66,99.03
20230213,114841,690829,657178,666041,98.11,99.12,99.41
20230214,160165,688823,655669,664379,99.0,98.75,98.28
20230215,139846,693006,658882,668072,98.39,98.49,99.12
20230216,405051,693031,659166,668204,95.2,97.65,93.19
20230217,257670,720839,679929,692903,99.84,99.12,99.43
20230220,242105,715017,676509,687334,97.27,98.42,96.95
20230221,220058,695957,659459,668851,99.14,99.02,97.36
20230222,192246,698061,662632,672559,97.34,99.49,99.02
20230223,127506,687703,652827,661543,98.42,99.06,99.03
20230224,145162,685759,652667,661261,99.96,98.0,98.84
20230227,175530,690388,656677,665548,96.34,99.13,98.7
20230228,252098,675652,642109,650102,98.78,97.44,95.6
20230302,174629,692074,656523,666199,98.82,97.84,98.26
20230303,236335,694358,659707,668979,98.21,96.45,95.16
20230306,274209,715326,678447,689644,98.39,95.42,94.99
20230307,372754,739437,699916,713044,97.68,95.88,96.36
20230308,229545,755018,711557,726559,96.15,99.92,98.38
20230309,222278,734009,694758,706893,98.76,99.25,99.56
20230310,195645,729564,691260,703142,97.24,99.82,99.45
20230313,291597,717837,680962,691999,98.74,97.42,96.38
20230314,189009,731742,692002,704630,98.09,99.57,99.95
20230315,153827,722408,685159,696345,99.37,96.37,96.58
20230316,224294,737262,700577,712807,99.14,99.09,97.64
20230317,495493,738368,699632,712392,99.11,99.48,98.52
20230320,242829,731666,686302,700148,95.92,99.22,97.49
20230321,220078,705838,668607,678771,98.15,99.35,99.74
20230322,206510,700063,664038,673768,99.58,96.66,95.84
20230323,202975,715313,679148,690188,99.76,97.72,96.94
20230324,243174,723621,686477,698006,98.65,99.49,98.84
20230327,175698,714036,676041,686781,99.71,97.84,98.39
20230328,238741,718565,682447,693367,97.93,99.34,98.49
20230329,146056,716932,679433,690640,98.74,97.76,97.96
20230330,181406,720449,684646,695598,98.39,98.94,99.94
20230331,234893,717415,680856,691612,99.64,98.39,97.14
20230403,210319,724425,686660,698453,99.24,96.99,98.1
20230404,357335,735202,696955,709148,97.51,97.34,98.22
20230405,173102,743003,700825,714664,99.46,97.88,97.63
20230406,214460,744232,706393,719250,98.05,99.21,99.55
20230407,176079,736095,697266,709500,97.76,98.76,99.37
20230410,435352,731368,694103,705905,95.48,96.67,94.12
20230411,1194745,755314,710577,726438,88.13,92.89,90.13
20230412,614112,793223,725739,754272,96.62,93.64,97.33
20230413,500579,793107,738365,759009,97.91,97.15,94.64
20230414,372206,792540,742326,762166,97.48,95.05,95.03
20230417,351391,806874,758677,778145,98.88,97.02,96.66
20230418,359378,807078,759562,778880,97.24,94.01,94.41
20230419,388626,823989,775616,796549,99.88,98.18,99.17
20230420,281434,807154,757530,776903,99.98,95.89,97.11
20230421,280781,804879,760027,778445,99.14,99.22,99.03
20230424,221374,789763,744804,761690,98.75,97.74,99.31
20230425,311844,779580,737796,753531,99.8,98.79,98.45
20230426,240656,765151,721274,736404,97.43,99.21,98.71
20230427,315286,748981,708629,721952,99.73,97.61,97.43
20230428,257164,752825,710987,725404,99.62,97.4,98.03
20230502,203437,755722,714761,728869,99.44,96.85,97.7
20230503,159157,762780,722894,737217,97.2,99.57,98.45
20230504,149664,747272,708884,721608,98.33,97.91,98.72
20230508,150083,745687,708274,721039,99.82,97.96,99.32
20230509,149656,748681,710786,723640,98.14,99.89,99.77
20230510,201484,738937,701648,713886,97.8,99.67,99.31
20230511,311828,728690,690763,702413,98.09,99.97,98.35
20230512,232162,716853,677310,688621,97.59,98.88,99.91
20230515,175241,709530,672629,683094,97.76,99.35,98.86
20230516,179012,705019,669667,679725,99.72,96.77,97.8
20230517,136372,715312,679286,689959,99.53,98.88,97.31
20230518,151282,719047,683750,694738,99.29,97.54,97.99
20230519,161829,725962,689670,700996,97.9,98.95,99.57
20230522,161714,719954,683615,694437,98.17,98.79,99.21
20230523,375157,716944,681079,691836,96.75,97.3,96.22
20230524,181354,733689,691986,705394,99.96,96.65,97.97
20230525,158080,738626,700835,713174,97.7,98.85,99.84
20230526,133917,731375,694396,706050,97.85,99.63,99.99
20230530,182533,723298,687382,698430,99.12,98.48,99.49
20230531,489828,724216,687277,698531,98.0,99.32,99.2
20230601,258102,714107,671120,683616,98.28,97.83,99.51
20230602,346407,709862,672330,682914,98.05,97.72,94.72
20230605,148006,726518,686373,699234,99.52,95.86,96.71
20230607,297767,740816,703677,716039,98.51,96.66,95.98
20230608,249933,755467,714093,728660,99.41,97.69,98.87
20230609,235688,754860,713953,727876,99.19,97.14,96.79
20230612,140486,762645,722113,736759,99.95,96.93,98.76
20230613,155147,766865,728031,742199,97.89,98.92,99.16
20230614,265425,756772,718126,731584,97.6,99.7,98.25
20230615,254423,741183,700740,713631,98.47,98.97,98.84
20230616,355710,736655,697256,709944,97.7,96.17,95.55
20230619,315174,753466,710691,725534,98.75,97.35,96.48
20230620,204789,762136,719335,734520,99.05,97.87,99.39
20230621,177750,758820,718668,732568,97.73,99.4,98.68
20230622,146160,746161,707510,720245,97.51,99.65,99.9
20230623,170902,736283,699328,711380,98.16,99.05,99.66
20230626,145097,730498,693181,704791,97.4,98.74,99.75
20230627,150949,723031,686975,697986,98.02,98.56,99.29
20230628,523591,720754,684835,695784,98.49,95.76,94.9
20230629,293283,695171,652705,663703,98.07,98.89,99.44
20230630,176510,684554,648420,657426,98.28,98.25,98.56
20230703,227535,685093,651278,659986,98.57,96.2,95.51
20230704,221408,705584,669631,680060,98.04,98.77,99.99
20230705,197455,701961,665670,675512,97.37,98.91,99.93
20230706,221272,696631,661375,670809,96.8,99.91,98.97
20230707,274332,685238,650189,658910,96.96,99.72,99.56
20230710,210646,675714,640491,648849,97.62,99.61,99.21
20230711,193263,669802,636234,644073,98.36,98.18,98.48
20230712,278392,672344,638994,646900,98.13,99.53,99.07
20230713,488183,671204,636359,644523,99.14,97.45,96.2
20230714,271672,682701,643206,653565,99.9,96.58,96.11
20230717,152544,694719,658350,668169,97.99,98.7,99.73
20230718,251222,691297,657144,666034,99.37,98.52,98.09
20230719,281004,694586,658617,668307,98.9,98.01,97.28
20230720,282841,700643,663564,673845,99.52,97.01,98.37
20230721,232253,707280,669510,680073,98.09,99.63,97.99
20230724,593589,704201,667802,678154,96.73,96.09,95.11
20230725,470635,724866,678937,693543,98.09,95.09,95.66
20230726,1219557,741789,696998,711760,94.74,97.35,97.77
20230727,875950,740137,679266,701705,98.61,95.98,93.36
20230728,595011,695270,645824,659658,93.85,96.83,98.51
20230731,497694,658895,619352,628592,99.38,96.47,97.0
20230801,486703,667736,629270,638347,98.34,97.26,97.46
20230802,320098,675690,636788,646431,96.68,99.5,99.31
20230803,270159,663027,627952,635622,98.46,98.89,98.85
20230804,217939,662247,628326,635865,97.01,98.95,99.98
20230807,296920,655365,622746,629606,97.28,97.74,97.63
20230808,234283,638280,605479,611426,98.04,98.93,99.42
20230809,204061,634652,603469,609185,99.74,98.77,96.7
20230810,210456,642252,611095,617420,98.7,99.85,97.38
20230811,163446,644342,612693,619120,98.05,98.82,99.54
20230814,361375,642539,611609,617553,96.2,97.38,96.56
20230816,290601,621248,588951,594009,96.63,98.98,98.29
20230817,414889,603683,573953,577948,96.45,99.31,99.47
20230818,230975,593727,563392,567305,97.28,99.54,99.7
20230821,240323,586106,558416,561472,98.42,99.36,98.85
