,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,438162,179625,173589,178129,99.79,98.63,99.24
20230103,573137,181398,175158,179267,98.94,99.04,99.57
20230104,792920,179788,173679,177940,97.98,98.12,97.5
20230105,1107483,182721,176332,180868,96.17,95.83,97.24
20230106,741129,188656,181683,185543,99.11,99.55,99.71
20230109,1115201,187523,180713,184716,95.43,95.62,94.0
20230110,839225,195241,187827,193076,99.61,98.6,99.96
20230111,1030650,195356,187963,192248,97.43,96.64,98.59
20230112,797343,198976,191269,195084,99.99,98.59,99.44
20230113,869459,198430,190799,194498,98.97,97.85,99.74
20230116,846276,198878,191229,195121,98.94,98.07,97.32
20230117,976576,200610,192892,197937,99.81,99.69,97.71
20230118,518929,199093,191361,194709,98.42,99.15,99.6
20230119,475600,197113,189673,194280,99.69,98.53,99.12
20230120,787881,197205,189780,194542,98.11,97.32,99.26
20230125,988822,199156,191526,195676,97.87,95.95,96.87
20230126,873219,203308,195364,200073,99.66,97.73,98.08
20230127,1212987,204369,196393,201402,96.63,97.22,95.23
20230130,1204050,208549,200339,206323,97.45,97.02,99.67
20230131,1076468,210458,202032,206199,99.06,99.98,98.17
20230201,860204,206035,197887,201995,98.82,97.72,98.29
20230202,1245591,206928,198813,203578,96.92,94.45,96.25
20230203,3065767,212483,203958,208827,94.23,96.89,93.43
20230206,1390741,213957,205224,212936,95.3,95.23,98.81
20230207,1041746,217975,209153,213590,98.85,97.28,97.31
20230208,1777709,217526,208859,214526,93.76,93.24,93.07
20230209,1575905,224041,215031,221675,97.2,96.0,96.38
20230210,1412939,224129,215124,221567,97.24,96.9,96.33
20230213,1308899,224236,215251,221640,97.07,97.62,99.39
20230214,745937,223608,214561,219323,97.86,96.22,97.91
20230215,1424562,223855,214923,219941,99.71,99.96,97.94
20230216,959443,218463,209583,213837,98.19,96.14,96.98
20230217,904481,219298,210553,216002,99.86,99.32,99.77
20230220,571053,215576,206998,212112,97.99,96.95,96.85
20230221,646501,217493,208920,214505,98.64,97.17,99.54
20230222,820639,217673,209001,213512,98.05,99.29,99.05
20230223,563669,212372,203954,208879,99.01,96.66,97.84
20230224,851405,213778,205355,210485,99.9,99.21,98.81
20230227,930467,211318,202917,207130,98.89,99.47,99.58
20230228,848323,207655,199509,204790,97.95,96.15,98.22
20230302,817689,210501,202170,206787,99.52,98.62,99.62
20230303,729689,208291,200082,204598,98.95,97.36,99.56
20230306,1052243,208713,200498,204778,97.3,96.16,95.47
20230307,640146,212420,204016,209785,99.03,96.92,99.42
20230308,1027023,213171,204728,209288,98.0,98.65,96.65
20230309,760330,206577,198389,202333,99.72,98.21,99.84
20230310,854741,205364,197322,201496,97.83,99.76,99.15
20230313,1035513,201083,193314,198038,99.06,99.34,97.8
20230314,776395,201832,194002,199255,99.92,98.98,98.34
20230315,838555,200406,192663,196456,99.7,99.06,99.97
20230316,708127,200068,192330,196284,99.16,99.88,99.59
20230317,778496,197655,190168,195086,97.85,96.43,98.53
20230320,602589,201612,193788,197808,98.83,97.87,98.17
20230321,403322,202722,194936,199779,99.62,97.47,99.64
20230322,655503,203736,195875,200131,98.19,96.49,96.68
20230323,607503,207270,199194,204336,98.89,98.61,99.84
20230324,599102,205437,197444,202209,99.54,98.48,99.86
20230327,611569,204816,196847,201333,98.61,99.32,98.98
20230328,586388,202196,194381,198667,99.4,98.27,99.58
20230329,442034,201637,193877,198389,99.68,97.92,99.64
20230330,788108,201320,193625,198166,99.84,97.74,98.59
20230331,937726,202143,194306,199061,99.33,97.59,98.55
20230403,794745,203730,195752,200327,99.62,98.81,98.93
20230404,575220,202874,194960,198696,99.07,98.41,98.85
20230405,485125,201862,194113,199027,99.68,97.5,99.91
20230406,1409355,202557,194751,198941,97.85,98.51,96.33
20230407,531141,196818,189140,192573,99.27,98.05,99.57
20230410,783772,196200,188809,193028,98.71,99.11,99.99
20230411,1137837,194910,187541,191917,97.46,97.02,96.01
20230412,700638,198742,191101,196434,99.12,97.05,99.21
20230413,727674,200729,192991,197286,99.03,98.67,99.55
20230414,964852,198931,191314,195641,99.22,97.11,98.31
20230417,556371,200791,192996,197507,99.25,98.32,99.74
20230418,1022386,200061,192391,196598,98.39,99.53,98.03
20230419,612192,196360,188824,192704,97.99,98.65,99.32
20230420,581315,194302,187003,191113,99.17,98.47,99.75
20230421,479007,193918,186669,190960,99.05,98.2,99.65
20230424,469050,193482,186278,190327,99.12,98.82,99.83
20230425,778485,192405,185306,189592,99.37,99.63,98.12
20230426,671910,190743,183660,187104,99.92,98.9,99.47
20230427,470891,190277,183301,187523,99.54,98.28,99.64
20230428,902999,190608,183629,187850,98.56,96.65,97.69
20230502,491178,193858,186551,190966,99.66,97.47,98.84
20230503,448203,194995,187697,192205,99.18,98.12,99.79
20230504,900385,194765,187496,191913,98.72,99.2,97.86
20230508,2034862,195770,188381,193464,94.35,95.05,93.46
20230509,1855368,203546,195431,201445,94.89,93.73,95.47
20230510,763447,210530,202031,207322,99.07,97.84,98.72
20230511,825757,211037,202703,207583,97.7,96.3,98.38
20230512,666880,213389,204910,209436,99.71,97.58,98.1
20230515,584184,213358,204937,210165,99.93,98.76,99.13
20230516,528940,212252,203903,209021,99.42,98.5,99.27
20230517,538104,211179,202858,207009,98.68,97.76,97.19
