,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,2343823,9575,9395,9462,95.27,99.31,99.98
20230103,1245699,9835,9584,9390,97.23,97.93,98.22
20230104,1204082,9878,9647,9463,98.79,97.81,97.26
20230105,2255760,9991,9763,9598,98.92,99.97,95.98
20230106,2016042,10118,9874,9702,99.2,99.14,95.12
20230109,1541849,10298,10062,9934,99.98,99.38,98.36
20230110,1395698,10376,10150,10053,98.27,99.0,99.04
20230111,1123647,10389,10166,10069,98.15,98.85,99.69
20230112,1038815,10413,10197,10111,97.91,99.04,99.62
20230113,1573739,10456,10243,10162,99.94,99.08,97.71
20230116,2070870,10559,10338,10263,98.68,99.4,97.28
20230117,812563,10657,10427,10363,98.99,99.74,99.17
20230118,1004939,10755,10553,10524,98.06,97.54,99.77
20230119,665934,10733,10526,10491,98.27,98.79,99.91
20230120,576393,10788,10590,10566,97.74,98.17,98.89
20230125,624896,10774,10578,10553,98.17,98.97,99.88
20230126,823265,10851,10656,10641,97.92,98.61,99.33
20230127,813271,10852,10652,10635,97.53,98.26,99.58
20230130,658998,10846,10646,10630,97.58,97.83,97.98
20230131,1101353,10767,10568,10542,96.97,96.8,97.15
20230201,729449,10576,10363,10305,97.82,98.7,99.95
20230202,1764434,10622,10419,10369,97.17,96.43,97.13
20230203,1021091,10351,10120,10019,98.22,99.0,99.1
20230206,777383,10417,10204,10118,96.96,97.45,99.12
20230207,850445,10382,10173,10088,97.51,97.96,99.68
20230208,1718536,10423,10213,10130,99.74,99.68,97.69
20230209,1165185,10536,10311,10229,98.89,98.81,99.72
20230210,1234049,10521,10306,10238,99.13,98.46,98.25
20230213,1140422,10602,10388,10326,99.79,99.92,98.34
20230214,1311636,10740,10531,10494,98.01,98.35,99.1
20230215,1382272,10658,10443,10393,97.52,96.19,97.4
20230216,1150165,10437,10215,10135,97.37,98.46,99.75
20230217,622544,10411,10194,10106,98.13,98.77,99.76
20230220,499154,10493,10291,10222,96.93,97.81,99.29
20230221,514503,10513,10313,10250,97.03,97.59,99.21
20230222,736602,10522,10322,10260,96.33,97.29,98.01
20230223,832953,10428,10221,10144,98.46,98.3,99.74
20230224,763033,10492,10284,10211,97.54,98.58,99.89
20230227,712185,10526,10321,10255,97.41,98.01,99.66
20230228,1538500,10539,10335,10273,98.47,98.48,98.97
20230302,1264501,10548,10326,10252,98.58,99.55,98.96
20230303,1043257,10592,10377,10317,97.76,97.66,98.55
20230306,1214537,10499,10286,10218,98.36,98.96,99.88
20230307,709007,10515,10299,10225,97.51,98.33,99.16
20230308,1117084,10509,10304,10239,96.77,96.96,97.81
20230309,1008881,10364,10147,10055,97.28,98.43,99.45
20230310,1283101,10351,10137,10041,95.97,96.56,98.27
20230313,833563,10180,9956,9833,97.38,97.99,99.42
20230314,1368674,10226,10013,9900,96.18,95.48,96.77
20230315,1476191,9988,9758,9610,99.11,98.35,99.69
20230316,1166819,10018,9786,9622,96.4,97.21,99.77
20230317,1680207,9961,9734,9573,98.25,98.92,98.39
20230320,962130,10008,9772,9598,97.77,98.21,99.98
20230321,704236,10036,9816,9675,97.38,97.43,99.64
