,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,73437,129586,125888,128064,71.4,72.35,72.97
20230103,161285,180637,173449,176298,97.95,97.97,99.26
20230104,169499,180069,172184,175385,96.51,95.96,96.83
20230105,142928,174786,167214,170369,99.84,99.24,98.2
20230106,146478,179150,171547,174668,99.64,98.19,97.85
20230109,245387,178976,171561,174357,95.71,96.11,93.99
20230110,201442,188750,179738,183057,98.82,98.49,98.68
20230111,115387,189205,180421,183644,99.84,97.52,98.73
20230112,203162,191571,183187,186388,97.56,99.62,98.98
20230113,204744,190291,181246,184776,97.14,98.18,96.77
20230116,159438,184793,176166,179562,99.89,99.25,98.39
20230117,138450,186173,177989,181075,98.24,97.26,96.83
20230118,89413,190818,182461,185534,98.77,99.16,99.22
20230119,94534,190983,182866,185963,97.32,97.84,99.48
20230120,84689,186620,178836,181786,99.27,97.99,96.95
20230125,92686,189958,182087,185019,99.98,99.39,99.34
20230126,119934,188021,180099,183096,98.59,99.94,99.94
20230127,92992,187770,179637,182795,97.9,99.3,99.73
20230130,178711,188373,180343,183563,97.06,97.06,95.7
20230131,150947,181864,173661,176927,98.96,98.67,99.93
20230201,81852,184338,176189,179520,98.1,99.54,99.9
20230202,82781,185570,177980,181005,98.15,99.71,98.77
20230203,172820,185551,177851,180966,96.74,97.49,96.59
20230206,110839,181498,173355,176680,98.32,99.79,99.33
20230207,141550,181533,173973,177042,97.26,99.5,98.83
20230208,159571,181943,174025,177343,97.03,99.12,97.61
20230209,376099,181126,173091,176473,96.02,98.72,98.7
20230210,141875,182806,173142,177271,95.12,98.51,98.24
20230213,271050,180549,172737,176042,99.09,99.57,97.42
20230214,160402,182628,173939,177213,98.99,98.94,99.2
20230215,102424,183050,174836,178212,96.58,99.06,97.4
20230216,91661,181253,173669,176863,96.43,99.84,98.59
20230217,261213,182669,175065,178320,99.44,98.34,98.52
20230220,102964,182331,173777,176926,99.32,98.51,99.68
20230221,308572,183725,175950,179120,96.04,99.41,93.98
20230222,230963,188250,179067,182123,96.89,95.4,96.01
20230223,184409,193259,183914,187337,99.61,99.47,99.77
20230224,93398,190527,181710,184965,98.33,99.68,98.87
20230227,104814,187941,179948,183071,97.02,98.91,98.52
20230228,132570,185606,177700,180874,98.13,99.78,98.5
20230302,176505,185306,177181,180482,97.99,98.38,98.09
20230303,130940,187857,179500,182519,99.4,98.79,97.34
20230306,127952,190074,181830,184844,99.64,99.2,99.21
20230307,101487,188799,180467,183667,99.73,98.56,98.91
20230308,97076,190057,182000,185039,96.76,98.89,97.26
20230309,123216,185797,177880,181084,98.91,98.99,99.29
20230310,100185,186917,178785,182035,96.16,98.71,97.1
20230313,89151,183654,175906,179114,97.29,99.19,99.2
20230314,109873,183349,175814,178875,96.94,98.31,96.72
20230315,82700,180024,172473,175633,99.93,99.7,99.52
20230316,78139,180851,173649,176498,97.59,99.04,99.72
20230317,142977,181185,173937,176904,98.15,98.87,97.21
20230320,56450,179711,171917,175161,98.01,99.64,98.52
20230321,50610,179333,172397,175267,97.7,99.77,99.73
20230322,68706,182025,174903,177891,97.45,99.77,99.04
20230323,137294,183297,175911,178970,99.29,99.25,98.61
20230324,76240,184617,176765,179744,98.78,99.68,98.56
20230327,85413,182771,175318,178304,98.35,99.76,99.21
20230328,252684,183210,175688,178735,97.97,97.88,96.15
20230329,83726,189919,180772,184158,99.41,98.51,99.81
20230330,165122,188797,180883,183921,98.03,99.17,97.52
20230331,210728,189721,181361,184258,97.64,96.67,96.57
20230403,115856,194140,184918,188258,99.41,99.69,98.84
20230404,75074,189906,181638,184705,99.31,98.45,99.46
20230405,66151,190539,182568,185632,98.38,99.49,99.28
20230406,69119,189440,181597,184649,97.27,100.0,98.82
20230407,71986,188084,180281,183410,97.61,99.71,99.72
20230410,80063,188471,180653,183768,98.83,99.48,99.53
20230411,106060,187840,180075,183083,99.12,99.93,99.61
20230412,75881,188021,180039,183084,99.35,98.38,99.99
20230413,110146,189019,181136,184223,96.6,99.37,98.67
20230414,82467,187879,179728,183027,98.61,99.02,98.93
20230417,117716,189657,181765,184810,97.2,99.08,97.56
20230418,116310,186462,178336,181600,96.18,99.47,97.86
20230419,91551,185061,177036,180393,97.36,99.81,98.2
