,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,592123,11122,10975,11073,99.98,99.99,99.99
20230103,535263,11107,10987,11088,99.4,99.66,99.68
20230104,575762,11156,11036,11135,98.96,99.21,99.21
20230105,397869,11249,11121,11223,99.35,99.53,99.11
20230106,534222,10248,10017,10451,90.11,89.25,93.11
20230109,448988,11327,11208,11301,99.96,99.86,99.8
20230110,429198,10249,10017,10452,90.51,89.25,92.71
20230111,468565,11332,11213,11307,99.48,99.9,99.71
20230112,505973,10239,10007,10442,90.43,89.16,92.62
20230113,848351,11326,11203,11299,99.59,99.38,99.34
20230116,1209522,10245,10012,10446,87.03,88.03,89.11
20230117,581601,11688,11513,11625,98.87,99.48,99.98
20230118,311189,11739,11603,11693,99.43,99.74,99.4
20230119,384778,11679,11546,11639,99.21,99.34,98.86
20230120,668627,10299,10066,10498,86.39,85.51,88.06
20230125,911473,11938,11777,11877,99.22,99.87,99.95
20230126,609825,11983,11826,11921,99.49,99.2,99.6
20230127,524181,11914,11765,11858,99.73,99.97,99.62
20230130,500069,11884,11741,11832,99.98,99.57,99.82
20230131,462365,11908,11758,11853,99.88,99.54,99.92
20230201,606773,11925,11777,11871,99.36,99.28,99.07
20230202,1114399,12028,11867,11964,98.91,99.04,98.86
20230203,885679,12167,11989,12090,99.79,99.97,99.82
20230206,761607,12157,11990,12086,99.79,99.93,99.8
20230207,659859,12122,11962,12055,99.59,100.0,99.39
20230208,464836,12072,11919,12010,99.92,99.47,99.93
20230209,533590,12088,11934,12026,99.72,99.43,99.21
20230210,1306987,12155,11990,12087,97.86,98.91,97.55
20230213,803344,12395,12195,12302,99.15,98.58,99.04
20230214,746343,12501,12321,12414,99.76,99.6,99.15
20230215,636382,12564,12380,12475,99.82,99.43,99.87
20230216,484415,12570,12395,12484,99.45,99.47,99.9
20230217,415577,12553,12381,12469,99.5,99.84,99.98
20230220,624252,12530,12359,12448,99.53,99.98,99.62
20230221,870665,12480,12311,12399,99.85,99.92,99.9
20230222,351066,12473,12294,12388,99.42,99.7,99.78
20230223,298035,12433,12270,12357,99.78,99.42,99.32
20230224,393044,12490,12319,12409,99.85,99.42,99.5
20230227,569142,12527,12355,12444,99.63,99.79,99.73
20230228,599062,12498,12328,12416,99.62,99.49,99.8
20230302,869496,12514,12338,12430,99.94,99.25,99.51
20230303,928736,12558,12374,12468,99.59,99.14,98.87
20230306,843055,10387,10151,10579,81.4,80.31,83.03
20230307,1275753,12802,12605,12699,98.7,99.25,98.9
20230308,854647,12913,12705,12801,99.04,99.8,99.45
20230309,830530,12768,12584,12670,99.98,99.09,98.89
20230310,925514,12654,12480,12563,98.7,98.38,98.69
20230313,939020,12457,12286,12374,98.63,99.72,98.35
20230314,866180,12579,12385,12484,99.36,99.71,99.82
20230315,692036,12576,12400,12487,99.89,99.75,99.71
20230316,492682,12583,12405,12495,99.75,99.89,99.87
20230317,744012,12566,12389,12480,99.96,99.94,99.44
20230320,332645,12527,12355,12442,99.95,99.39,99.45
20230321,639418,12588,12412,12503,99.83,99.29,99.62
20230322,616730,12629,12447,12538,99.76,99.49,99.86
20230323,531393,12644,12466,12554,99.73,99.88,99.58
20230324,445750,12597,12422,12510,99.98,99.69,99.28
20230327,649117,10393,10160,10588,82.48,81.8,85.11
20230328,430686,12552,12384,12468,99.43,99.94,99.54
20230329,371573,12495,12327,12415,99.97,99.48,99.95
20230330,461365,12507,12337,12426,99.5,99.48,99.08
20230331,447163,12587,12407,12499,99.86,99.57,99.78
20230403,402875,12570,12401,12487,99.53,100.0,99.55
20230404,854144,12518,12350,12437,99.54,99.93,99.63
20230405,1071148,12479,12303,12394,99.94,99.58,99.01
20230406,378221,12397,12224,12315,99.81,99.45,99.55
20230407,369073,12440,12268,12361,99.52,99.57,100.0
20230410,662754,12431,12266,12355,99.43,99.96,99.65
20230411,461475,12390,12222,12312,99.52,99.52,99.92
20230412,551918,12378,12213,12303,99.78,99.53,99.75
20230413,351607,12376,12210,12300,99.55,99.5,99.93
20230414,414263,12370,12206,12296,99.75,99.23,99.23
20230417,501105,12448,12275,12368,99.7,99.55,99.81
20230418,342708,12454,12284,12374,99.57,99.54,99.89
20230419,300363,12442,12278,12366,99.59,99.41,99.96
20230420,380505,12451,12286,12374,99.84,99.47,99.38
20230421,339094,12505,12332,12423,99.57,99.36,99.86
20230424,447308,12510,12343,12430,99.61,99.61,99.93
20230425,457887,12500,12331,12419,99.36,99.68,99.61
20230426,422526,12460,12294,12382,99.69,99.54,99.69
20230427,330777,12478,12307,12397,99.7,99.4,99.97
20230428,501025,12482,12317,12404,99.51,99.72,99.98
20230502,492265,12464,12294,12384,99.57,99.46,99.98
20230503,239293,12460,12291,12380,99.85,99.27,99.67
20230504,735332,12491,12324,12413,99.37,99.22,99.06
20230508,435559,12590,12403,12498,99.77,99.45,99.58
20230509,575819,12617,12442,12530,99.58,99.37,98.97
20230510,809353,12704,12517,12609,99.33,99.34,99.2
20230511,272954,12784,12593,12684,99.73,99.47,99.79
20230512,303726,12778,12601,12685,99.78,99.22,99.64
20230515,501178,12803,12623,12709,99.51,99.87,99.94
20230516,470348,12771,12591,12677,99.84,99.45,99.58
20230517,414438,12785,12601,12689,99.88,99.14,99.59
20230518,467993,12822,12639,12726,99.98,99.44,99.27
20230519,685660,12868,12679,12768,99.67,99.68,99.63
20230522,355203,12845,12662,12746,99.73,99.39,99.66
20230523,290680,12867,12681,12768,99.63,99.38,99.59
20230524,376982,12882,12699,12784,99.98,99.13,99.25
20230525,657353,12938,12750,12836,99.75,99.14,98.97
20230526,511054,13012,12814,12903,99.64,98.8,98.8
20230530,739275,10452,10219,10644,79.25,78.25,80.7
20230531,706967,10466,10232,10655,78.58,77.58,80.12
20230601,1031975,13334,13123,13209,99.59,99.05,99.78
20230602,559408,13247,13045,13126,99.76,99.13,98.92
20230605,484982,13300,13094,13178,99.56,98.46,98.65
20230607,702943,13411,13203,13285,99.76,99.43,99.45
20230608,841463,13395,13188,13269,99.46,99.02,98.52
20230609,1021371,10500,10267,10688,77.1,76.23,78.54
20230612,1143392,13605,13379,13465,98.89,98.9,99.31
20230613,1006126,13614,13394,13474,99.88,99.81,99.44
20230614,2298477,13473,13266,13343,98.69,97.4,98.38
20230615,1043169,13112,12899,12989,97.79,99.3,97.23
20230616,963981,13332,13109,13201,99.5,98.5,99.11
20230619,770951,13382,13172,13255,99.38,99.52,99.28
20230620,1111778,13228,13033,13111,99.55,99.28,99.22
20230621,623746,13089,12891,12975,99.85,99.09,99.58
20230622,633855,13112,12914,12999,99.9,99.27,99.76
20230623,611936,13109,12912,12997,99.62,99.32,99.67
20230626,1153707,13105,12908,12993,99.49,99.6,99.95
20230627,1372888,13062,12859,12948,99.9,99.14,99.6
20230628,1221268,13066,12857,12949,99.95,99.21,99.76
20230629,1832063,13058,12852,12943,98.14,97.59,98.88
20230630,732102,12741,12543,12636,99.38,98.76,99.5
20230703,1426224,12808,12625,12711,99.15,98.84,98.47
20230704,520515,12625,12439,12530,99.41,99.59,98.74
20230705,293927,12717,12527,12621,99.82,99.42,99.91
20230706,324169,12719,12548,12631,99.45,99.86,99.51
20230707,633600,12667,12495,12580,99.23,99.32,99.2
20230710,398048,12559,12387,12474,99.75,99.9,99.32
20230711,339685,12583,12406,12496,99.24,99.25,99.33
20230712,446475,12661,12486,12573,99.77,99.57,99.23
20230713,577535,12719,12535,12625,99.44,98.86,99.02
20230714,441496,12821,12631,12721,99.7,99.38,99.69
20230717,473589,12846,12661,12747,99.25,99.2,99.23
20230718,655533,12723,12550,12632,99.42,99.52,99.11
20230719,571678,12621,12449,12533,99.51,99.69,99.17
20230720,647330,12534,12365,12451,99.65,99.96,99.75
20230721,645157,12512,12338,12428,99.7,99.42,99.66
20230724,1211940,12550,12370,12463,99.28,98.61,98.43
20230725,1016395,12365,12195,12284,99.23,99.13,98.65
20230726,1255416,12222,12059,12150,99.93,99.34,99.59
20230727,1219936,12221,12040,12141,99.52,99.59,99.58
20230728,1182726,12233,12063,12157,98.65,99.53,99.08
20230731,1134676,12341,12151,12254,99.5,99.33,98.98
20230801,1128530,12229,12063,12155,99.35,99.31,99.38
20230802,863072,12151,11983,12078,99.66,99.89,99.35
20230803,789954,12096,11937,12030,99.45,99.77,99.58
20230804,564560,12044,11886,11981,99.78,99.71,99.26
20230807,918314,12095,11934,12030,99.88,99.62,99.58
20230808,949794,12077,11918,12011,99.53,99.51,98.81
20230809,1180112,11984,11830,11923,99.63,100.0,99.86
20230810,1240108,11978,11809,11910,99.85,99.74,99.67
20230811,786143,11997,11830,11930,99.81,99.41,99.58
20230814,747393,12039,11878,11974,99.68,99.9,99.88
20230816,979392,12026,11870,11964,99.53,99.75,99.8
20230817,1319619,12008,11847,11944,99.26,99.35,98.61
20230818,676513,11876,11721,11816,99.63,99.58,99.8
20230821,819761,11902,11747,11845,99.77,99.38,99.71
20230822,762252,11939,11780,11878,99.67,99.49,99.98
20230823,726713,11941,11787,11883,99.57,99.89,99.47
20230824,830748,11904,11755,11849,99.88,99.62,99.92
20230825,789436,11907,11751,11848,99.43,99.75,99.59
20230828,1708755,11868,11718,11813,98.74,99.22,99.19
20230829,965291,11981,11798,11906,98.61,98.65,98.48
20230830,797173,12153,11975,12077,98.97,99.05,98.51
20230831,1074901,12293,12113,12213,99.46,99.61,99.7
20230901,568770,12336,12159,12254,99.73,99.26,99.79
20230904,573634,12380,12210,12302,99.35,99.75,99.41
20230905,503069,12312,12149,12239,99.49,99.84,99.27
20230906,498509,12249,12092,12181,99.43,99.57,99.25
20230907,308485,12172,12018,12107,99.9,99.73,99.89
20230908,273926,12173,12017,12108,99.89,99.4,99.65
20230911,442724,12206,12051,12141,99.87,99.51,99.84
20230912,380874,12226,12066,12157,99.7,99.8,99.69
20230913,319558,12209,12055,12144,99.51,99.71,99.8
20230914,542833,12195,12040,12130,97.64,99.42,99.1
20230915,646044,12337,12163,12258,99.65,99.78,99.01
20230918,417541,12409,12231,12327,99.93,99.44,99.81
20230919,349281,12416,12251,12339,99.55,99.6,99.68
20230920,336247,12391,12230,12317,99.59,99.76,99.78
20230921,544581,12367,12205,12294,99.54,99.88,99.64
20230922,367986,12319,12156,12246,99.35,99.88,99.87
20230925,449852,12288,12130,12219,99.9,99.26,99.5
20230926,457425,12347,12180,12272,99.54,100.0,99.33
20230927,379439,12288,12131,12218,99.36,99.66,99.93
20231004,878843,12240,12081,12172,99.42,99.16,98.4
20231005,425617,12098,11947,12034,99.52,99.72,99.63
20231006,561576,12082,11929,12021,99.73,99.92,99.84
20231010,381447,12062,11904,11999,98.87,99.03,98.76
20231011,334932,12191,12029,12123,99.93,99.17,99.78
20231012,261691,12229,12072,12162,99.6,99.77,99.93
