,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,256377,87046,83661,85579,99.37,96.94,99.05
20230103,535289,88760,85566,87320,97.98,97.53,98.11
20230104,582484,87629,84185,86153,97.69,99.63,96.05
20230105,372671,90159,86798,88501,99.62,97.53,98.44
20230106,520258,91681,88512,90100,99.91,99.79,99.34
20230109,1246443,92043,88789,90390,96.38,96.93,95.05
20230110,583121,96636,93070,94571,98.6,99.43,99.44
20230111,454625,96597,93408,94760,99.17,99.58,99.96
20230112,487521,96656,93539,94856,98.79,99.53,98.77
20230113,500644,95868,92711,94103,99.4,99.05,99.9
20230116,458632,96210,93069,94408,99.57,99.6,99.99
20230117,511231,96260,93131,94474,98.89,99.82,99.76
20230118,458888,96265,93114,94458,99.3,98.85,99.22
20230119,601293,96852,93747,95032,99.74,99.62,98.68
20230120,391157,97589,94407,95684,99.08,99.38,99.36
20230125,403888,97852,94792,96012,99.95,98.54,99.39
20230126,496024,98762,95708,96877,99.12,99.9,98.96
20230127,813280,99175,96077,97231,99.18,98.54,99.11
20230130,1322757,100358,97081,98280,99.17,98.96,97.89
20230131,1140938,102622,99083,100291,99.44,99.88,99.81
20230201,738213,102556,99097,100279,97.55,98.98,98.81
20230202,727164,100997,97757,98921,99.5,98.74,98.04
20230203,493356,102732,99524,100553,99.38,99.33,99.75
20230206,663779,102870,99779,100759,99.97,99.78,99.17
20230207,568693,103443,100261,101248,99.57,98.97,99.26
20230208,1809917,103962,100836,101769,95.55,98.67,94.58
20230209,1189827,109240,105447,106394,99.6,99.57,98.51
20230210,1330878,109370,105876,106708,97.48,99.04,96.48
20230213,907871,112316,108724,109436,97.89,96.94,97.91
20230214,1957756,109263,105871,106705,95.68,97.4,94.18
20230215,1108858,115289,111367,112046,99.05,99.08,99.33
20230216,1080764,115036,111510,112075,98.83,98.51,98.31
20230217,735524,116593,113053,113542,99.05,99.15,99.69
20230220,730359,115395,112034,112512,99.74,99.32,99.3
20230221,735027,115435,112077,112561,99.43,99.54,98.74
20230222,692730,116000,112631,113085,98.07,98.53,98.21
20230223,1414208,113272,109950,110536,96.81,97.91,96.37
20230224,711338,117127,113424,113934,98.77,99.09,99.53
20230227,556263,115555,112188,112684,98.72,99.29,99.99
20230228,666842,114382,111124,111620,99.13,99.44,99.62
20230302,484235,113515,110209,110779,99.01,99.65,99.44
20230303,475873,113127,109944,110453,99.76,99.59,99.69
20230306,964347,113144,109936,110483,97.96,98.95,96.49
20230307,748490,116262,112795,113262,99.25,99.47,99.01
20230308,1731900,115934,112554,113027,96.13,96.86,96.19
20230309,1144788,120394,116467,116906,99.17,99.8,99.92
20230310,858971,120162,116482,116884,98.43,98.36,98.98
20230313,851620,117471,113995,114429,99.13,99.65,97.39
20230314,1114429,118751,115261,115644,98.76,96.35,96.56
20230315,1133693,114607,111008,111676,97.29,98.06,95.12
20230316,916862,119235,115631,116010,99.97,99.85,98.73
20230317,918172,118971,115449,115822,99.56,98.76,98.24
20230320,965943,120085,116536,116886,98.66,96.78,97.38
20230321,712657,116559,113010,113558,98.38,99.46,99.77
20230322,756170,115356,112007,112498,99.02,98.6,98.51
20230323,1324425,116913,113514,113949,98.07,97.09,98.08
20230324,893158,114027,110378,111066,99.54,99.44,98.29
20230327,778173,114624,111219,111746,99.89,99.8,98.45
20230328,1263322,115043,111671,112178,98.28,97.55,99.66
20230329,554609,113371,109770,110471,99.01,97.4,97.16
20230330,570965,115742,112484,112901,99.88,99.46,99.82
