,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,1069022,29238,28858,29008,86.12,88.79,89.26
20230103,802959,33086,32673,33077,98.76,97.58,99.18
20230104,857358,33256,32782,33190,97.67,98.15,98.34
20230105,630898,33885,33444,33893,99.66,99.42,99.58
20230106,722679,33790,33340,33781,98.8,99.37,99.5
20230109,854348,33978,33528,33983,98.77,98.76,99.22
20230110,659669,34347,33874,34362,99.7,99.48,99.67
20230111,625323,34298,33834,34315,99.56,99.22,99.96
20230112,1039564,34372,33902,34389,99.48,99.71,98.86
20230113,697105,34205,33750,34231,98.72,98.83,99.65
20230116,424506,34451,33981,34473,99.0,98.78,99.49
20230117,438246,34665,34176,34683,99.33,99.35,99.47
20230118,1339032,34565,34086,34586,96.55,97.95,99.1
20230119,1435165,35105,34581,35139,96.44,98.52,97.47
20230120,552577,35747,35117,35727,97.67,98.37,98.56
20230125,478877,35901,35262,35882,98.9,98.22,99.67
20230126,1000886,35735,35136,35742,98.99,99.68,99.03
20230127,839112,35354,34781,35363,99.03,98.81,99.61
20230130,766369,35333,34772,35344,99.39,99.07,99.59
20230131,792921,35151,34612,35170,99.3,99.32,99.66
20230201,976047,34960,34440,34979,99.89,99.74,98.61
20230202,941206,34586,34087,34601,98.68,98.66,99.71
20230203,2207294,34767,34270,34793,99.08,95.84,98.56
20230206,724886,34119,33565,34060,98.9,99.16,99.3
20230207,885037,34291,33810,34293,99.59,99.67,98.54
20230208,985290,33912,33470,33925,99.96,99.91,99.48
20230209,1571352,33855,33412,33863,96.87,99.0,99.74
20230210,1789509,34274,33807,34300,99.34,98.48,97.61
20230213,1337943,33770,33321,33781,99.64,99.48,99.31
20230214,1323394,33598,33162,33597,99.11,99.59,99.26
20230215,1030075,33678,33250,33694,99.92,99.24,98.51
20230216,2536287,33445,33025,33447,98.8,95.98,96.29
20230217,1590060,32606,32182,32568,99.67,98.96,99.33
20230220,938551,32460,32064,32419,98.81,99.27,98.69
20230221,983130,32892,32488,32864,99.72,99.26,98.57
20230222,1070930,32619,32234,32592,99.01,98.95,98.78
20230223,1469534,32317,31936,32272,99.79,98.94,98.2
20230224,4433265,32025,31653,31975,98.33,95.36,94.99
20230227,2058108,30956,30576,30860,98.67,97.57,96.96
20230228,1577819,30317,29951,30158,99.08,99.49,99.04
20230302,1152602,30544,30168,30387,98.69,99.56,99.79
20230303,869456,30815,30453,30686,99.13,99.0,99.22
20230306,935924,30590,30228,30440,99.8,99.91,99.8
20230307,1266161,30666,30303,30521,99.24,99.85,99.09
20230308,970157,30902,30535,30773,98.68,98.72,98.1
20230309,1371999,30443,30086,30287,98.68,99.95,98.82
20230310,1159190,30789,30416,30650,99.22,98.1,98.0
20230313,1152552,30340,29975,30174,98.53,98.39,98.57
20230314,1258823,29924,29556,29725,99.25,98.61,98.38
20230315,1000204,29638,29265,29418,98.47,99.37,97.73
20230316,665384,30157,29781,29968,99.14,99.05,99.1
20230317,1006895,29962,29594,29762,99.87,98.82,99.62
20230320,1012882,29968,29590,29766,98.42,99.3,98.4
20230321,845960,30380,30013,30212,99.44,99.38,99.38
20230322,619912,30601,30242,30453,99.83,99.81,99.99
20230323,1388679,30644,30287,30498,98.86,98.02,98.51
20230324,937227,30296,29923,30124,99.18,98.91,99.42
20230327,861725,30090,29722,29901,99.14,99.4,99.01
20230328,767770,30357,29994,30189,99.81,99.52,99.54
20230329,3201682,30318,29954,30147,99.11,96.71,96.76
20230330,3461410,29732,29352,29532,98.7,98.44,98.17
20230331,2383744,29326,28948,29096,99.58,99.66,98.8
20230403,1041411,29556,29172,29330,99.18,99.06,98.42
20230404,2042323,29950,29579,29750,96.93,99.26,96.91
20230405,1204930,30718,30335,30573,99.09,99.79,99.75
20230406,1119518,30885,30522,30759,99.95,99.93,99.97
20230407,727415,30924,30564,30801,99.76,99.46,99.67
20230410,944748,30878,30515,30745,99.93,99.79,99.85
20230411,889870,30892,30531,30765,99.49,99.57,99.56
20230412,1301207,31017,30648,30891,99.3,99.51,99.21
20230413,1269867,30817,30459,30690,99.89,99.97,99.21
20230414,913727,30694,30342,30563,99.33,99.65,99.39
20230417,877823,30883,30523,30754,99.78,99.91,99.53
20230418,882541,30992,30630,30869,99.65,99.9,99.12
20230419,965694,30898,30546,30777,99.83,99.99,99.59
20230420,1129982,30845,30493,30720,99.2,99.2,99.28
20230421,1143220,30671,30308,30529,99.77,99.64,99.77
20230424,1254764,30680,30314,30535,99.41,98.62,97.88
20230425,965687,30277,29916,30111,99.92,99.78,99.63
20230426,816380,30222,29862,30048,99.91,99.79,99.83
20230427,743379,30230,29867,30052,99.9,99.44,99.49
20230428,708465,30164,29799,29981,99.55,99.66,99.94
20230502,1170722,30225,29868,30050,98.13,99.73,98.04
20230503,746626,30705,30330,30556,99.98,99.61,99.65
20230504,738300,30653,30303,30514,99.99,99.99,99.79
20230508,861027,30626,30270,30481,99.27,99.57,99.13
20230509,1166889,30858,30497,30726,98.43,99.34,98.32
20230510,1260951,31304,30934,31199,98.91,99.63,99.52
20230511,1172277,31545,31178,31462,99.67,99.77,99.32
20230512,1861484,31500,31148,31424,97.67,99.2,98.82
20230515,997876,32014,31638,31961,99.73,99.49,99.88
20230516,1294632,32178,31809,32133,99.44,97.56,97.01
20230517,684183,31602,31231,31523,99.36,99.09,98.64
20230518,852761,31315,30958,31217,99.26,99.38,99.89
20230519,1010382,31442,31090,31357,99.34,99.33,99.98
20230522,871475,31550,31198,31475,100.0,99.99,99.44
20230523,664347,31495,31140,31412,99.83,99.49,99.8
20230524,636696,31570,31217,31492,99.94,99.89,99.39
20230525,1136843,31496,31144,31413,99.51,99.82,99.64
20230526,957009,31499,31145,31420,99.84,99.82,99.62
20230530,1547835,31488,31133,31406,98.25,99.31,98.14
20230531,6545416,32066,31679,32004,99.64,99.11,98.56
20230601,1534382,31797,31416,31781,99.54,97.17,96.14
20230602,964032,31122,30755,31017,99.28,99.0,98.64
20230605,564425,30842,30484,30714,99.33,99.46,99.56
20230607,1157305,31017,30663,30898,99.89,99.88,99.36
20230608,1466769,30934,30583,30819,99.4,99.07,98.62
20230609,1020463,30663,30304,30527,99.96,99.66,98.92
20230612,798527,30516,30161,30368,99.56,99.54,99.57
20230613,933483,30650,30294,30506,99.19,99.0,98.72
20230614,631292,31004,30645,30884,99.5,99.52,98.91
20230615,568140,30776,30424,30643,99.92,99.59,99.65
20230616,724793,30865,30511,30735,99.95,99.96,99.72
20230619,296304,30848,30492,30718,99.52,99.97,99.45
20230620,489470,30742,30392,30604,99.65,99.48,99.53
20230621,692261,30890,30536,30762,99.87,99.95,99.96
20230622,630629,30919,30562,30793,99.78,99.71,99.86
20230623,676961,30919,30567,30795,99.29,99.12,99.03
20230626,469937,30716,30355,30574,99.78,99.82,99.43
20230627,599601,30632,30278,30486,99.57,99.93,99.55
20230628,467315,30525,30173,30373,99.59,99.25,99.91
20230629,1074117,30604,30256,30460,99.33,98.13,97.79
20230630,527798,30199,29833,30023,99.5,99.72,99.25
20230703,653741,30057,29698,29867,99.64,99.67,99.61
20230704,1044725,29988,29624,29791,99.2,98.37,98.15
20230705,654324,29666,29293,29445,99.27,99.34,98.99
20230706,937473,29477,29106,29238,99.92,99.98,99.11
20230707,932348,29670,29293,29445,99.25,99.16,99.51
20230710,565013,29568,29192,29337,99.94,99.68,99.19
20230711,716625,29472,29103,29234,99.24,99.64,99.37
20230712,729418,29379,29005,29132,99.76,99.67,99.43
20230713,748515,29561,29188,29328,99.2,99.11,98.75
20230714,501122,29885,29518,29679,99.78,99.89,99.43
20230717,471768,30054,29686,29858,99.82,99.37,98.96
20230718,380340,29895,29531,29691,98.83,99.21,98.67
20230719,369515,29618,29252,29391,99.77,99.99,99.97
20230720,506343,29652,29283,29425,99.48,99.94,99.91
20230721,1023194,29619,29252,29392,98.4,98.99,97.97
20230724,651035,30129,29759,29942,99.76,99.46,99.86
20230725,548125,30210,29840,30027,99.3,98.68,98.21
20230726,1034582,29889,29523,29684,98.51,98.2,98.34
20230727,644106,29527,29151,29294,98.59,99.82,97.97
20230728,546011,29968,29585,29759,99.77,99.54,99.8
20230731,619933,29965,29596,29763,99.45,99.5,99.11
20230801,1846105,29794,29430,29583,95.95,99.43,95.28
20230802,891051,30886,30484,30736,99.15,99.72,99.72
20230803,616210,30964,30598,30839,99.88,99.35,98.56
20230804,556131,30734,30383,30600,99.3,99.73,99.51
20230807,2473928,30901,30535,30766,95.23,99.3,96.14
20230808,1202078,32001,31588,31921,99.07,99.49,99.91
20230809,946753,32231,31855,32188,99.9,98.23,99.1
20230810,1076016,32114,31718,32044,99.89,98.99,99.55
20230811,681454,32007,31625,31940,98.79,98.98,98.89
20230814,699236,32421,32044,32380,99.45,99.83,99.94
20230816,777645,32541,32160,32506,99.87,99.81,99.98
20230817,717235,32597,32206,32559,99.55,99.36,99.35
20230818,767003,32477,32090,32434,99.17,99.88,99.34
20230821,457897,32656,32258,32614,99.87,99.72,99.74
20230822,470662,32798,32404,32767,99.85,99.68,99.02
20230823,493059,32655,32274,32626,99.86,99.61,99.92
20230824,640652,32669,32278,32631,99.3,99.62,99.33
20230825,528806,32919,32519,32892,99.75,99.9,99.67
20230828,488778,32999,32597,32974,99.25,99.08,99.17
20230829,598734,33337,32925,33327,99.07,99.47,99.92
20230830,749344,33472,33059,33473,99.62,99.67,98.72
20230831,782235,33359,32949,33360,99.22,98.93,98.91
20230901,569276,33119,32706,33099,99.33,98.11,98.62
20230904,446110,32703,32298,32658,99.7,99.69,99.82
20230905,379933,32707,32328,32681,99.98,99.78,99.29
20230906,866386,32614,32244,32589,99.18,98.28,98.32
20230907,664515,32245,31859,32191,99.08,98.7,99.25
20230908,639927,32018,31635,31946,98.82,99.89,98.75
20230911,2027288,32381,31982,32319,98.17,95.65,96.41
20230912,926182,31475,31081,31377,99.44,99.09,98.13
20230913,1272677,31071,30720,30964,98.79,99.26,99.08
20230914,1049773,31408,31047,31319,98.0,99.51,97.87
20230915,1117873,32043,31650,31968,97.54,98.75,97.32
20230918,658295,32881,32465,32843,99.75,99.02,98.48
20230919,731680,32603,32215,32569,99.22,98.69,99.01
20230920,885604,32353,31965,32301,98.34,98.96,98.18
20230921,804458,32946,32539,32918,99.99,99.97,99.64
20230922,502731,32945,32548,32927,99.71,99.39,99.15
20230925,516656,32758,32368,32728,99.57,99.9,99.48
20230926,598143,32985,32577,32955,99.59,98.99,99.68
20230927,751054,32842,32432,32802,98.62,99.64,98.95
20231004,1303095,33153,32736,33128,99.26,99.2,99.93
20231005,538044,33327,32919,33332,99.47,98.55,98.53
20231006,338822,33036,32623,33009,99.74,99.78,99.67
20231010,908165,33001,32601,32977,97.64,98.2,98.29
20231011,706725,33768,33334,33776,99.91,99.9,99.18
20231012,824366,33645,33221,33650,99.87,98.25,98.95
20231013,442247,33449,32999,33422,98.49,97.99,97.32
20231016,548718,32707,32317,32675,99.26,99.95,99.17
20231017,517351,32967,32555,32932,98.7,99.71,98.75
20231018,811485,33377,32943,33351,99.78,99.53,100.0
20231019,458704,33488,33067,33487,99.74,99.19,98.83
20231020,382738,33231,32821,33217,99.45,99.32,98.26
20231023,340416,32882,32497,32866,99.79,99.55,99.65
20231024,503086,32955,32550,32926,99.07,98.76,98.69
20231025,410947,32629,32237,32590,99.94,99.96,99.26
20231026,553467,32562,32189,32532,99.88,99.88,99.59
20231027,374983,32548,32169,32514,99.54,99.59,99.65
20231030,320981,32670,32293,32645,99.79,99.56,99.24
20231031,575085,32526,32149,32489,98.56,99.07,99.51
20231101,614350,32902,32514,32886,98.8,99.96,99.05
20231102,607971,33226,32802,33199,99.18,99.7,99.85
20231103,326728,33422,32999,33413,99.78,99.85,99.51
20231106,918195,33365,32958,33360,99.6,99.36,99.58
20231107,726243,33494,33045,33468,98.96,98.94,97.65
20231108,575949,32908,32520,32896,99.27,99.94,99.09
20231109,649586,32937,32547,32923,99.81,99.99,99.92
20231110,229325,33026,32626,33006,99.92,99.92,99.68
20231113,530810,32975,32581,32953,99.77,99.9,99.69
20231114,366831,33028,32626,33008,99.63,99.47,99.82
20231115,733779,33146,32752,33138,99.99,99.85,99.73
20231116,223361,33218,32811,33209,99.79,99.88,99.21
20231117,0,33091,32703,33082,0.0,0.0,0.0
