,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,2118816,4959,4792,4874,95.92,94.52,95.94
20230103,6984010,5269,5087,4954,96.48,95.33,99.78
20230104,3722335,5154,4960,4804,98.14,98.78,95.13
20230105,4558685,5195,5017,4872,97.33,97.92,98.72
20230106,4396649,5138,4952,4805,97.45,96.62,96.1
20230109,3626567,5106,4929,4779,99.53,98.19,93.52
20230110,3232296,5276,5096,4955,97.15,98.49,97.92
20230111,2477655,5238,5054,4915,98.09,99.72,96.0
20230112,2516384,5283,5104,4968,97.81,99.72,97.6
20230113,3489139,5278,5095,4961,98.11,99.9,96.52
20230116,2011407,5313,5129,4991,97.03,99.04,97.86
20230117,2091814,5278,5095,4964,97.71,99.9,96.95
20230118,1995870,5288,5108,4975,97.32,98.85,97.36
20230119,1252176,5271,5090,4958,97.05,99.41,97.41
20230120,1591799,5246,5068,4938,98.14,99.96,96.26
20230125,2858773,5286,5108,4977,97.95,99.38,96.08
20230126,1851224,5342,5159,5025,97.07,99.43,97.2
20230127,7217088,5329,5146,5017,99.64,99.92,95.38
20230130,4474591,5426,5228,5081,98.39,99.85,96.97
20230131,45725875,5428,5233,5099,92.47,99.3,88.07
20230201,16577365,6246,5900,5677,94.31,96.85,96.71
20230202,10818073,6069,5810,5666,98.0,98.6,97.19
20230203,4095674,6020,5777,5652,97.44,99.7,96.78
20230206,5094250,5982,5763,5661,97.92,98.36,98.28
20230207,6062804,5913,5691,5583,98.75,98.38,99.17
20230208,7994022,5825,5602,5485,97.81,97.96,99.73
20230209,5239573,5719,5496,5365,98.06,99.52,96.32
20230210,7903015,5721,5513,5391,98.81,98.1,94.91
20230213,10121828,5821,5601,5474,98.49,99.48,93.73
20230214,3778003,6001,5768,5642,97.77,99.79,97.44
20230215,4993463,5953,5735,5633,98.93,99.03,98.65
20230216,3465542,5901,5680,5571,97.91,100.0,97.06
20230217,3977870,5899,5687,5582,98.47,99.52,96.91
20230220,2326704,5890,5676,5569,97.74,99.36,97.53
20230221,4869502,5850,5640,5539,99.32,99.12,94.85
20230222,4178842,5989,5771,5665,98.49,99.81,97.17
20230223,4229140,5969,5749,5647,98.14,99.14,98.21
20230224,3570223,5919,5699,5594,99.17,99.46,96.95
20230227,4133235,5944,5729,5626,96.27,97.7,99.58
20230228,5409392,5794,5579,5468,97.63,98.56,99.42
20230302,3297057,5692,5477,5355,98.36,99.95,96.49
20230303,5156151,5700,5498,5382,97.67,98.0,99.67
20230306,4331704,5598,5388,5263,97.28,99.29,97.83
20230307,4260246,5554,5353,5226,97.9,98.81,98.79
20230308,7153009,5487,5287,5158,95.49,96.74,99.65
20230309,5177174,5323,5121,4973,98.61,99.39,97.32
20230310,4183314,5311,5118,4975,95.86,98.05,98.71
20230313,4588996,5214,5027,4884,96.96,98.85,96.71
20230314,5258767,5200,5016,4870,96.62,97.84,99.08
20230315,4289293,5109,4922,4771,98.83,98.93,95.23
20230316,5349026,5206,5027,4879,95.36,96.88,99.67
20230317,3559382,5081,4896,4742,98.38,99.71,96.58
20230320,4253862,5119,4942,4794,99.23,99.45,97.44
20230321,3318454,5141,4961,4811,97.79,99.47,95.84
20230322,3278858,5182,5006,4862,98.19,99.48,97.43
20230323,3499676,5197,5016,4874,95.64,98.05,98.66
20230324,2612524,5117,4938,4792,96.63,99.43,97.1
20230327,3555486,5108,4933,4789,97.22,98.81,98.03
20230328,5677095,5081,4903,4756,99.78,99.96,94.18
20230329,5114457,5211,5031,4877,99.4,99.38,96.77
20230330,3287156,5246,5058,4911,97.74,99.04,96.48
20230331,5042101,5263,5081,4942,99.18,99.43,95.59
20230403,4074994,5348,5159,5016,98.52,99.98,96.83
20230404,7078155,5382,5192,5056,99.67,99.77,93.98
