,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,360653,274444,265293,271704,98.37,97.71,99.89
20230103,359010,276016,268438,274922,99.26,98.89,98.93
20230104,218258,272241,265344,271885,98.64,99.01,99.05
20230105,327195,274090,266984,273321,97.2,97.44,98.14
20230106,390204,280660,272283,278427,97.62,97.77,97.35
20230109,267873,287151,277521,283389,99.02,96.87,98.06
20230110,311729,293373,282796,288382,99.36,98.36,99.1
20230111,301818,294736,283850,289417,99.58,97.71,99.12
20230112,325084,297255,285936,291414,99.24,98.26,99.86
20230113,762472,297221,285871,291407,97.45,97.4,95.54
20230116,547935,307671,293887,299106,98.3,97.15,96.18
20230117,333407,316229,301108,305942,99.29,98.72,99.86
20230118,413955,314516,299948,304868,97.22,99.35,98.38
20230119,230209,307178,293878,299128,98.79,98.95,99.54
20230120,280284,305717,292883,297985,98.78,97.47,96.59
20230125,384315,312742,298560,303326,99.92,98.86,99.89
20230126,538052,312345,298123,303169,99.31,98.88,96.55
20230127,329254,317409,302052,306772,98.91,97.75,98.48
20230130,578986,319505,304069,308715,98.57,99.48,98.28
20230131,507244,312794,298252,303449,98.44,99.42,99.02
20230201,333222,309326,295553,300767,98.42,98.35,99.1
20230202,392097,309625,296008,300987,99.8,98.02,99.17
20230203,365227,311616,297551,302552,97.83,99.85,99.85
20230206,389270,308243,294808,299902,98.27,98.93,99.36
20230207,424378,305077,292204,297514,98.14,99.56,99.67
20230208,419661,302947,290428,295758,99.33,97.46,99.25
20230209,530381,305828,292783,298052,99.46,99.25,97.4
20230210,443512,308920,295137,300222,99.21,98.71,99.93
20230213,361539,307977,294511,299758,98.86,99.16,98.44
20230214,495815,308242,294806,299833,98.48,96.82,97.67
20230215,1356822,315006,300187,305102,95.75,97.31,93.73
20230216,810231,330307,311574,316265,99.76,96.46,96.13
20230217,1279962,338804,319262,323398,97.92,98.23,96.83
20230220,1075480,344622,323294,327568,98.6,95.65,94.67
20230221,717022,358863,335191,338679,97.03,98.88,97.88
20230222,974061,358311,335195,338559,95.08,98.12,98.02
20230223,618887,344499,323651,327879,97.47,99.58,98.91
20230224,763089,341834,321898,325851,97.04,99.25,98.8
20230227,873124,333960,315325,319798,96.29,99.42,99.75
20230228,1446654,326575,309195,313927,99.36,98.0,98.72
20230302,1333108,329353,310882,315872,95.74,95.66,93.73
20230303,797958,347265,325390,329443,98.16,98.75,99.23
20230306,1270453,345483,324671,328670,96.87,98.86,99.75
20230307,1022487,339866,319562,324028,98.65,96.84,96.72
20230308,612776,347422,325932,329920,95.51,99.83,99.72
20230309,686362,340072,320512,324573,98.03,99.69,99.36
20230310,386284,335178,316402,320761,96.71,99.4,99.92
20230313,585821,327718,310638,315000,99.91,98.46,96.33
20230314,599657,332910,314633,318825,97.41,99.57,99.11
20230315,626558,327172,309996,314639,99.29,96.87,96.37
20230316,662637,336159,317290,321366,97.2,99.91,99.49
20230317,688227,330923,312947,317382,99.53,97.64,98.87
20230320,408075,334186,315602,319965,97.02,99.65,99.7
20230321,432909,327184,310185,314595,99.48,97.24,98.62
20230322,881894,330290,312749,317047,97.86,96.98,96.07
20230323,878007,340182,320201,324315,97.69,98.52,98.58
20230324,595650,339339,319594,323816,97.17,99.87,99.44
20230327,788021,333559,315202,319546,99.27,96.84,96.25
20230328,822344,342544,322281,326229,99.58,96.93,96.23
20230329,711759,350618,328789,332481,98.22,97.71,97.5
20230330,700132,354187,331876,335388,97.04,99.07,98.79
20230331,3767223,351931,330033,333659,89.78,97.93,90.67
20230403,2647969,379900,348609,352787,94.62,91.38,90.0
20230404,2636739,416444,379629,381872,94.44,96.28,95.95
20230405,1920793,392481,360581,364113,96.17,99.28,97.49
20230406,1599156,387626,357356,360319,94.95,98.99,99.4
20230407,1161822,380924,352514,355678,97.6,97.51,96.26
20230410,3400129,386033,357103,359658,94.27,92.51,90.25
20230411,2388116,424709,385280,387597,96.79,98.41,97.63
20230412,4199534,423336,385603,387639,97.77,96.64,95.36
20230413,2625269,437267,394433,396907,90.27,95.1,98.62
20230414,2744732,409396,374139,376835,97.24,94.48,90.59
20230417,2943959,440058,398371,399803,99.07,95.65,94.4
20230418,2542208,454016,409423,410624,95.39,99.13,99.06
20230419,1910849,447424,404766,406097,94.97,98.48,98.57
20230420,1735312,441850,401092,402218,96.28,99.04,98.22
20230421,1811713,437079,397413,398624,92.87,98.75,99.34
20230424,1492362,420687,384249,386112,97.14,98.78,96.89
20230425,2061154,420006,383977,385585,95.78,97.88,98.4
20230426,1356256,405014,371288,373967,94.11,99.65,99.34
20230427,1259153,392319,361957,364558,98.89,98.09,94.2
20230428,1523535,401592,369416,371397,99.73,98.25,98.51
20230502,997936,404090,371204,373550,95.72,98.46,97.79
20230503,768864,402260,370426,372322,95.65,98.0,97.98
20230504,621657,400758,369550,371400,94.95,99.08,97.99
20230508,1063039,396666,366404,368282,96.7,99.84,99.79
20230509,1089617,390121,360531,363088,95.41,99.85,97.6
20230510,798825,385854,357002,359526,97.38,97.67,98.23
20230511,836456,385502,357139,359629,96.65,98.52,99.21
20230512,627365,382638,354790,357395,96.02,98.69,98.32
20230515,805678,379546,352527,355044,97.14,99.02,96.48
20230516,613026,381619,353946,356444,97.96,96.18,96.21
20230517,409493,389439,360613,362734,95.45,98.13,98.04
20230518,562035,387630,359404,361473,96.49,97.8,96.91
20230519,609598,390512,361532,363562,95.72,99.46,99.74
20230522,528344,383898,356084,358526,96.66,99.19,97.16
20230523,827935,382859,355288,357576,99.78,95.89,94.85
20230524,679805,395541,365200,367210,95.08,98.44,98.98
20230525,529820,391106,361878,364055,93.87,99.42,99.74
20230526,573455,382637,355211,357589,95.6,98.67,99.19
20230530,618415,378043,351410,353996,97.41,97.48,97.52
20230531,783723,380343,353201,355679,96.65,98.11,98.8
20230601,563485,378667,351649,354351,95.68,98.5,98.16
20230602,898394,376799,350421,352978,99.68,96.94,93.75
20230605,1059256,390729,361145,363299,99.81,95.54,93.75
20230607,854667,406928,374094,375799,95.93,96.92,96.73
20230608,911859,410142,377040,378566,96.43,97.68,97.57
20230609,680374,410742,377400,378987,96.15,97.14,96.19
20230612,639741,415808,381832,383005,95.92,97.53,97.83
20230613,751529,416237,382239,383465,94.62,98.64,98.45
20230614,2069738,412394,378984,380399,99.54,97.3,97.16
20230615,1122476,418529,382094,384144,95.11,99.98,99.52
20230616,640873,409815,376348,378152,96.38,98.26,96.22
20230619,565125,412406,379068,380337,95.46,98.33,96.9
20230620,537721,412396,379199,380462,94.66,98.24,98.57
20230621,493898,408210,375898,377357,94.79,98.4,98.66
20230622,1007756,403895,372460,374029,98.65,98.27,94.45
20230623,492324,412836,378819,380267,96.66,96.76,97.01
20230626,956793,416002,382240,383386,97.79,97.88,95.85
20230627,788317,421495,385917,387092,95.67,97.45,95.93
20230628,848166,425592,389558,390461,95.3,99.99,99.75
20230629,557777,415728,381483,382982,95.15,98.57,98.83
20230630,520732,410686,377832,379212,94.83,98.39,97.74
20230703,846399,409054,376599,377950,98.5,96.32,94.02
20230704,853254,422622,387019,388011,96.67,97.49,96.4
20230705,705287,426247,389960,390939,95.14,97.25,97.01
20230706,809495,427541,391272,392095,93.78,99.56,99.52
20230707,752802,418414,383752,385048,95.79,98.27,96.26
20230710,1079444,419834,384905,385987,96.97,97.44,97.23
20230711,1071681,422779,386885,388171,94.44,98.82,98.4
20230712,3323841,418087,383137,384554,98.14,98.37,92.11
20230713,2320901,437584,395533,397380,98.59,94.74,92.09
20230714,2198833,458383,413732,414340,98.7,97.12,92.69
20230717,2933840,473595,425879,425951,97.65,94.43,89.11
20230718,2798504,510157,453813,453058,96.94,95.74,92.84
20230719,2381695,526787,467475,466201,98.11,94.82,93.33
20230720,1329119,545698,483012,481028,92.37,98.88,96.69
20230721,3458805,537039,477761,475467,96.76,98.81,86.29
20230724,7321997,577753,505841,503356,84.71,89.53,78.4
20230725,5728769,691076,588624,585239,98.22,92.55,88.94
20230726,11631776,724136,617632,612831,94.78,96.89,97.27
20230727,7424260,701849,593904,592138,91.86,93.95,99.69
20230728,4114475,647350,556094,553804,95.42,96.04,89.47
20230731,3304143,667052,575371,570999,99.24,92.65,88.94
20230801,3092475,707249,607802,602345,92.02,99.15,97.0
20230802,2873833,689635,594673,589544,89.48,98.35,99.22
20230803,1967322,647578,562302,558087,90.8,98.65,94.27
20230804,1429396,644547,561327,556463,95.02,96.12,93.68
20230807,2168072,653802,569336,564122,89.56,97.42,99.44
20230808,1878204,617293,539687,535816,96.6,97.07,89.75
20230809,1191171,642802,559760,554885,93.58,95.36,92.95
20230810,1034234,654209,570171,564748,92.93,96.8,94.44
20230811,1198157,655550,571392,565906,90.92,99.37,98.08
20230814,1168580,637343,556966,552048,91.05,99.81,95.68
20230816,1660436,625710,547776,543022,90.61,99.31,99.45
20230817,1767674,600471,527344,523615,92.2,99.55,94.69
20230818,892609,595479,523060,519326,93.85,96.51,94.59
20230821,950697,599964,528168,523914,93.43,96.91,95.08
20230822,1051757,602968,530439,526131,94.77,96.09,93.95
20230823,748945,615118,539804,535234,90.35,99.41,97.14
20230824,1270728,601564,529680,525299,96.82,96.66,90.73
20230825,904736,626183,547859,543081,92.59,97.66,94.12
20230828,1004931,626263,548696,543778,95.45,94.28,91.7
20230829,802162,650978,567955,562479,90.78,97.75,96.48
20230830,930082,642072,561390,556076,93.87,96.79,95.88
20230831,888954,643393,562130,556912,89.83,97.76,96.19
20230901,940959,635225,555940,550773,90.48,99.63,98.35
20230904,1315360,615836,540555,536001,96.67,97.75,90.85
20230905,1144118,635069,554597,549666,95.72,94.48,92.07
20230906,865525,656017,571603,566139,90.85,99.06,97.61
20230907,954854,638985,558774,553629,90.58,99.25,97.47
20230908,716625,622989,546124,541372,93.14,96.32,92.86
20230911,635976,634048,555170,549901,92.17,97.91,96.47
20230912,1333031,627664,550335,545303,91.22,99.02,99.87
20230913,1335818,603686,530347,526372,90.04,98.98,99.5
20230914,928896,578439,510492,507123,95.78,96.14,91.7
20230915,1831875,598147,526555,522265,99.81,95.05,89.43
