,Volume,max_price,min_price,end_price,ai_max_reliability,ai_min_reliability,ai_end_reliability
20230102,109495,63846,61981,63394,76.01,75.13,76.56
20230103,257705,83858,82221,83077,98.48,97.22,97.56
20230104,415791,81944,80205,81180,98.21,97.96,96.98
20230105,534295,79895,78070,79149,98.87,99.0,98.0
20230106,356592,78934,77058,78184,99.7,99.95,99.85
20230109,419169,78842,77153,78162,99.42,98.54,98.56
20230110,453639,80202,78431,79451,98.29,99.41,97.37
20230111,297153,81929,80105,81118,99.43,98.17,98.8
20230112,236225,83056,81298,82242,99.57,99.87,99.46
20230113,622177,82986,81263,82189,96.83,98.62,96.35
20230116,400774,86033,83909,84991,98.89,98.83,99.52
20230117,245804,86788,84760,85770,98.26,98.85,98.98
20230118,256857,85682,83846,84772,99.79,99.71,99.32
20230119,611883,85493,83643,84581,97.15,99.59,96.11
20230120,216957,87929,85728,86809,99.35,98.2,98.42
20230125,226498,88993,87042,87936,99.77,98.69,98.8
20230126,305703,89820,87828,88718,99.42,99.28,99.53
20230127,570933,89119,87047,88018,96.87,97.92,96.62
20230130,279083,92335,89870,90964,98.31,99.59,98.59
20230131,348290,90657,88505,89475,99.72,99.65,98.55
20230201,376268,89760,87582,88598,99.82,99.45,99.43
20230202,424011,89591,87424,88432,99.55,99.46,99.85
20230203,328426,89681,87476,88507,98.21,98.87,98.15
20230206,304888,88034,85982,86975,98.7,99.2,98.63
20230207,634186,86881,84917,85889,99.44,98.18,97.63
20230208,361841,85613,83389,84571,99.55,98.34,99.26
20230209,356095,86657,84699,85660,98.88,99.88,98.87
20230210,320932,85989,84032,85022,99.41,99.92,98.75
20230213,447785,86648,84741,85679,97.36,97.63,98.37
20230214,377022,88861,86692,87720,98.56,98.37,97.64
20230215,408941,87118,85061,86086,98.35,97.39,96.78
20230216,286015,84863,82862,83922,99.69,99.24,99.55
20230217,247757,85317,83490,84413,99.63,98.92,99.78
20230220,298606,84934,83150,84069,99.01,99.46,98.71
20230221,240646,83918,82082,83063,99.86,99.13,99.36
20230222,219450,84425,82674,83578,98.65,99.18,98.32
20230223,378265,83180,81445,82381,98.93,99.45,98.79
20230224,178065,82476,80635,81652,99.97,98.94,99.45
20230227,220365,83016,81375,82250,98.64,98.53,98.83
20230228,291020,81991,80308,81243,99.52,99.99,99.33
20230302,339479,81807,80066,81036,98.09,99.58,97.28
20230303,222438,83537,81769,82706,99.72,99.67,99.51
20230306,267302,83242,81509,82441,99.57,99.28,99.09
20230307,297603,84186,82420,83337,99.16,99.06,99.21
20230308,357062,85111,83276,84211,97.46,97.19,96.16
20230309,299006,82111,80259,81304,99.77,99.09,99.62
20230310,193699,82432,80671,81633,99.1,99.16,99.59
20230313,176149,81974,80340,81241,99.79,99.83,99.8
20230314,358200,82014,80393,81288,98.5,97.85,97.36
20230315,198571,80303,78514,79559,99.63,99.38,99.93
20230316,622239,80734,79121,80036,97.55,95.62,94.97
20230317,301482,77685,75742,76954,99.37,99.53,99.27
20230320,215368,77376,75744,76749,99.77,99.81,99.81
20230321,267362,77297,75738,76706,99.87,99.66,99.2
20230322,256519,77306,75684,76687,99.75,99.06,99.76
20230323,263435,77637,76039,77016,99.17,99.68,99.33
20230324,183913,77237,75637,76629,99.43,99.65,99.44
20230327,249844,77027,75488,76450,99.96,99.62,99.8
20230328,280042,77065,75476,76465,97.55,97.89,98.16
20230329,273626,79086,77464,78417,99.86,99.19,99.26
20230330,354460,79949,78310,79256,99.07,99.47,99.44
20230331,244477,80177,78456,79457,98.98,98.07,99.2
20230403,380701,81269,79608,80538,97.1,97.08,97.98
20230404,338925,84238,82374,83336,99.6,99.85,98.99
20230405,185037,84240,82381,83351,98.14,98.79,97.85
20230406,258102,82746,81065,81976,99.46,98.92,98.04
20230407,248610,81853,80120,81085,98.19,98.71,98.13
20230410,224570,80570,78898,79859,99.96,99.49,99.45
20230411,216458,81002,79377,80295,100.0,99.35,99.99
20230412,277933,81172,79534,80457,98.87,99.17,99.58
20230413,331352,81960,80248,81193,98.99,99.32,98.06
20230414,238168,83515,81739,82678,99.38,99.68,99.3
20230417,235377,83079,81348,82281,99.9,99.81,99.04
20230418,293148,82874,81146,82079,98.19,98.69,98.04
20230419,242342,81569,79826,80805,99.17,99.78,98.99
20230420,429216,81097,79424,80370,98.37,98.43,97.88
20230421,309782,79794,77980,79049,98.09,99.12,98.91
20230424,217643,78817,77145,78147,99.34,99.94,99.17
20230425,272017,78450,76852,77818,99.81,99.93,98.94
20230426,402334,78153,76515,77509,98.77,99.06,97.75
20230427,1181462,76929,75197,76278,98.24,93.49,95.37
20230428,397253,74173,72029,73479,99.29,98.94,98.5
20230502,266269,74856,73213,74276,99.81,99.47,99.76
20230503,351866,74859,73269,74309,98.01,98.94,97.65
